ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-19.5525,0.15248968275862068,-0.00254197796720466,-0.016436368752750462,-0.02573269487904209
-19.0525,0.15811962068965515,-0.00234325641995838,-0.014576564377430433,-0.02282099465834649
-18.5525,0.16424372413793098,-0.00194347500372505,-0.011607954524052238,-0.018173354250600356
-18.0525,0.17106520689655166,-0.0013866013449011,-0.007944842185919492,-0.01243840430376063
-17.5525,0.17806037931034482,-7.8783398032574E-4,-0.004331835186566513,-0.006781899019122523
-17.0525,0.18555017241379307,-3.27723998481368E-4,-0.0017295488569389942,-0.0027077728471235183
-16.5525,0.19420820689655172,-2.28838584847562E-4,-0.0011588400753683831,-0.0018142740967691327
-16.0525,0.204083724137931,-6.23225191284576E-4,-0.0030283072772434093,-0.0047411023893125515
-15.5525,0.21504289655172418,-0.00144461081364829,-0.0067381511421961224,-0.010549214975600163
-15.0525,0.2268885517241379,-0.00243222808891286,-0.010889885992609736,-0.017049149829306894
-14.5525,0.23905586206896548,-0.00324313144753099,-0.013921928895743512,-0.021796100695412896
-14.0525,0.25094079310344825,-0.00362223830579901,-0.014876726442787145,-0.023290926853120036
-13.5525,0.26222672413793097,-0.0035170307633787,-0.013793686568103281,-0.021595325162971038
-13.0525,0.2729404482758621,-0.00307166658218213,-0.011498801999790238,-0.01800246561672
-12.5525,0.28317796551724145,-0.00251959574430841,-0.009016193968475182,-0.014115707176635763
-12.0525,0.2931358965517241,-0.00204693042967492,-0.007023097601069658,-0.010995325694662073
-11.5525,0.3030113448275861,-0.00172384213622202,-0.00569054848374147,-0.008909093609986738
-11.0525,0.3132930689655171,-0.0015276659714027,-0.004864679772833569,-0.007616117778911852
-10.5525,0.3242716206896552,-0.00144701532659468,-0.004452956177504283,-0.006971525423234885
-10.0525,0.335854,-0.00156242435211106,-0.004659885315925252,-0.0072954926243040865
-9.55246,0.34659996551724137,-0.00199711855666626,-0.005815294322285228,-0.009104395056976945
-9.05246,0.3533913448275862,-0.0028174181706843,-0.008129258776565777,-0.012727125975141963
-8.55246,0.35259375862068965,-0.00393560494644406,-0.011511184050419242,-0.018021850891874507
-8.05246,0.3416032758620689,-0.00507830593249929,-0.01547859532928114,-0.02423320970441875
-7.55246,0.32096399999999997,-0.00589297318478161,-0.01922240295664153,-0.03009449578347281
-7.05246,0.2947696896551725,-0.00617021599989819,-0.021954696455882973,-0.034372160515483925
-6.55246,0.2679686206896552,-0.00603520326074385,-0.02360622043349939,-0.0369577780104865
-6.05246,0.24464820689655173,-0.00589068683777647,-0.025253392362917484,-0.0395365819610821
-5.55246,0.2262989655172414,-0.00613565260568444,-0.02855564504066141,-0.04470657186871691
-5.05246,0.21257713793103444,-0.00687127999869017,-0.0342755854502428,-0.053661681327515726
-4.55246,0.20332772413793104,-0.00782955293218254,-0.041237054039034236,-0.06456052095566832
-4.05246,0.1979136551724138,-0.00857193294220386,-0.04693172683905797,-0.07347607157413866
-3.55246,0.1955907931034483,-0.00881291006332375,-0.04952046629421615,-0.07752898882873456
-3.05246,0.19444668965517242,-0.00860574316875736,-0.04932352686468666,-0.0772206614648278
-2.55246,0.19155727586206892,-0.00822197664668505,-0.048012019826352566,-0.07516737275143605
-2.05246,0.18748289655172418,-0.00789901058197737,-0.04673828855481185,-0.07317322558538597
-1.55246,0.18592062068965517,-0.00773228776758713,-0.04563123824777092,-0.0714400332851057
-1.05246,0.18870141379310343,-0.00772247033770766,-0.04455008026326037,-0.0697473778725898
-0.552457,0.19493406896551718,-0.00787824590715825,-0.04389207213020462,-0.06871720370391778
-0.0524568,0.20190672413793104,-0.00823757525512289,-0.04456831723027671,-0.06977592957490375
0.447543,0.20316827586206895,-0.00874917004812229,-0.04698110693873877,-0.07355338080571514
0.947543,0.19911989655172418,-0.00932374571446543,-0.050863420336145784,-0.07963151081016483
1.44754,0.19386934482758622,-0.00994612846672404,-0.05581599535621812,-0.08738523693873936
1.94754,0.18896613793103453,-0.0105623647744846,-0.060958063052590286,-0.09543563183244004
2.44754,0.18605127586206896,-0.0110139984155136,-0.06473987687030976,-0.10135642020879206
2.94754,0.18477844827586207,-0.0111916571208307,-0.0661367280650982,-0.10354332329715829
3.44754,0.18474962068965511,-0.0112003097208719,-0.06575431082129175,-0.10294461281558014
3.94754,0.18691024137931034,-0.0112577286973312,-0.06491638712713371,-0.10163276376436677
4.44754,0.1925541724137931,-0.0114142691256931,-0.0638295535760717,-0.09993122271387747
4.94754,0.20190268965517238,-0.0114644642455,-0.06136271458260768,-0.09606915219882467
5.44754,0.21317868965517248,-0.0111817255533859,-0.05678637248445832,-0.08890445440910838
5.94754,0.22357358620689657,-0.010668855329981,-0.05144561980787398,-0.08054299932627726
6.44754,0.2306199310344828,-0.0102926422575337,-0.04759337171198714,-0.07451193940416163
