ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-29.464,0.2618278620689655,-0.00791483832922161,-0.03194204951979053,-0.05000830940632654
-28.964,0.2574106206896552,-0.00799902701758146,-0.03293991929581877,-0.05157056922550076
-28.464,0.25367999999999996,-0.0082571919403711,-0.03464889813101203,-0.054246137751755075
-27.964,0.2506720344827586,-0.00855558937824135,-0.036487549273311555,-0.057124720578991685
-27.464,0.24787934482758622,-0.00878545804087784,-0.037934832671775595,-0.05939058006756917
-26.964,0.2461086896551724,-0.00898793466549566,-0.03905240253823747,-0.06114024173629164
-26.464,0.24661979310344825,-0.00924830932011324,-0.040047811486175276,-0.06269864889558986
-25.964,0.2499513448275862,-0.00953701833977767,-0.040658971593798894,-0.06365547803518247
-25.464,0.25605293103448273,-0.00960840152180074,-0.03984944390091273,-0.062388085618369685
-24.964,0.2637068965517241,-0.00907055198868459,-0.03629373424975421,-0.05682128476909962
-24.464,0.2711124482758621,-0.00775093182356015,-0.029857829456208303,-0.04674526513154022
-23.964,0.27733041379310347,-0.00599544199512324,-0.02232526786887114,-0.034952325224901534
-23.464,0.2819928965517241,-0.00448272816780017,-0.01626484615340652,-0.025464159974515854
-22.964,0.28541413793103443,-0.00371520740960616,-0.013248360243853658,-0.02074156505801617
-22.464,0.2877212068965517,-0.00364340671531419,-0.01284864653081929,-0.020115775312652788
-21.964,0.28936589655172423,-0.00380102111226931,-0.013283254269835626,-0.02079619496667803
-21.464,0.2910631379310345,-0.00380369536154366,-0.013149676808961753,-0.020587066776924474
-20.964,0.2933177931034483,-0.00366555192383771,-0.012493822638955484,-0.019560264841789347
-20.464,0.2964603793103448,-0.00368986616655369,-0.012366958417565767,-0.019361646865446943
-19.964,0.3003906896551724,-0.00406918413397328,-0.013404400171081127,-0.020985860370240802
-19.464,0.30462900000000004,-0.00463060678448351,-0.01502246149414992,-0.023519088904380432
-18.964,0.30819631034482764,-0.00499163062597268,-0.016014274179971724,-0.025071865774097767
-18.464,0.3104098620689655,-0.00487490798320086,-0.015547512890761861,-0.02434110668629282
-17.964,0.3110164137931034,-0.00427126265413906,-0.013605092970951761,-0.021300063991562423
-17.464,0.3100625862068966,-0.00336870001701618,-0.01074393160995409,-0.016820644394095835
-16.964,0.3082992068965518,-0.00239165922983389,-0.007637496707280978,-0.01195722579388237
-16.464,0.30622589655172416,-0.00158972420282365,-0.005077479026170666,-0.00794927520187945
-15.964,0.3039294482758621,-0.00135109154976671,-0.004320131695726403,-0.006763576093703986
