Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
7.20591,0.766999,0.348038,0.373307,0.410288,0.347892,0.357823,0.498386,0.333896,0.340758,0.359689,0.420659,0.599148,0.422009
7.70591,0.753935,0.339224,0.36533,0.404028,0.333288,0.351645,0.467901,0.294356,0.335188,0.356922,0.421656,0.569646,0.405603
8.20591,0.738345,0.322539,0.359862,0.401756,0.316116,0.345989,0.43946,0.262604,0.331844,0.357474,0.424552,0.540305,0.388035
8.70591,0.722881,0.303941,0.356678,0.401767,0.301218,0.340987,0.417909,0.245434,0.327997,0.360214,0.426375,0.516984,0.372902
9.20591,0.708615,0.291431,0.354402,0.403679,0.292899,0.33619,0.406212,0.244127,0.323606,0.36444,0.425791,0.500479,0.364456
9.70591,0.695549,0.289284,0.350623,0.406063,0.292649,0.33087,0.40508,0.257056,0.319995,0.369915,0.423968,0.488093,0.36442
10.2059,0.68382,0.296042,0.346355,0.407469,0.299472,0.326791,0.414538,0.278007,0.319149,0.376628,0.423218,0.480118,0.371215
10.7059,0.677361,0.307606,0.344951,0.408045,0.312503,0.327889,0.431481,0.300095,0.323503,0.385414,0.427375,0.483371,0.380852
11.2059,0.678246,0.318874,0.347828,0.407945,0.328914,0.334014,0.453284,0.319201,0.331824,0.394627,0.436175,0.505156,0.390993
11.7059,0.6801,0.325701,0.353485,0.407546,0.34265,0.340437,0.4737,0.333677,0.341396,0.398744,0.445646,0.540981,0.401072
12.2059,0.677954,0.325481,0.359326,0.406049,0.349146,0.343061,0.483441,0.343043,0.348914,0.394366,0.452184,0.572861,0.408069
12.7059,0.666492,0.317352,0.362509,0.401022,0.34582,0.34085,0.481581,0.346928,0.350538,0.381034,0.452052,0.584836,0.40935
13.2059,0.645097,0.304952,0.361618,0.394118,0.335972,0.3345,0.472053,0.345156,0.347103,0.363492,0.444351,0.574048,0.404638
13.7059,0.616844,0.291198,0.354022,0.385978,0.32304,0.325064,0.461493,0.335877,0.338536,0.344565,0.43154,0.549835,0.393662
14.2059,0.579801,0.275113,0.336493,0.372908,0.304093,0.309903,0.448167,0.316332,0.321465,0.321511,0.412574,0.518117,0.376945
14.7059,0.531657,0.253482,0.311335,0.350623,0.274864,0.283905,0.424196,0.286603,0.295732,0.290339,0.383748,0.475158,0.353417
15.2059,0.473354,0.224627,0.282809,0.317203,0.235087,0.247724,0.388357,0.249966,0.26316,0.250843,0.343871,0.422758,0.322109
15.7059,0.410546,0.191203,0.253954,0.275738,0.191212,0.207142,0.346094,0.211481,0.227758,0.207838,0.296551,0.369671,0.286096
16.2059,0.35,0.157851,0.225885,0.231566,0.150634,0.167905,0.303653,0.174838,0.193568,0.167151,0.248713,0.323215,0.249591
16.7059,0.297214,0.128944,0.199065,0.190128,0.118232,0.134762,0.267613,0.142743,0.163546,0.133953,0.206652,0.287233,0.216216
17.2059,0.257389,0.107779,0.17576,0.156202,0.0961605,0.1107,0.24203,0.117875,0.140224,0.111236,0.174954,0.260497,0.189454
17.7059,0.231814,0.0944661,0.157697,0.131447,0.0822725,0.0958424,0.226664,0.10072,0.124128,0.0982937,0.154824,0.241305,0.170017
18.2059,0.214597,0.0851611,0.142773,0.11267,0.0729398,0.0874945,0.218742,0.0881644,0.112644,0.0918971,0.141844,0.226789,0.154813
