Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-20.6662,0.326129,0.194638,0.179072,0.138503,0.216648,0.153771,0.200849,0.243911,0.162676,0.159548,0.14811,0.147421,0.230624,0.310294,0.245194
-20.1662,0.340678,0.198552,0.18657,0.145989,0.215448,0.161281,0.200714,0.254741,0.156883,0.168527,0.159844,0.158812,0.241171,0.322422,0.243151
-19.6662,0.353353,0.197907,0.193344,0.155212,0.212897,0.166563,0.196768,0.265255,0.155341,0.175009,0.172388,0.171871,0.248342,0.333232,0.235669
-19.1662,0.362655,0.1955,0.194121,0.161353,0.207531,0.167364,0.193813,0.27033,0.15574,0.177593,0.179874,0.17945,0.246427,0.340768,0.225824
-18.6662,0.372129,0.194205,0.194415,0.169598,0.201059,0.169393,0.190609,0.274464,0.159651,0.180327,0.186684,0.186009,0.240196,0.351354,0.219304
-18.1662,0.380876,0.194398,0.195428,0.177468,0.19774,0.171291,0.190966,0.278202,0.164553,0.182305,0.192769,0.192558,0.235496,0.362778,0.21866
-17.6662,0.3897,0.195259,0.197713,0.185398,0.198482,0.173175,0.193968,0.281883,0.169378,0.18399,0.198415,0.199534,0.233703,0.375001,0.222097
-17.1662,0.399246,0.196915,0.204008,0.194246,0.204183,0.177217,0.198976,0.287449,0.174882,0.18733,0.20552,0.207896,0.237214,0.39096,0.229232
-16.6662,0.412012,0.200905,0.215885,0.20521,0.216031,0.185717,0.207441,0.298336,0.183379,0.194619,0.216046,0.219472,0.248371,0.414702,0.24116
-16.1662,0.430314,0.20989,0.234285,0.218965,0.233806,0.201453,0.219541,0.318062,0.196723,0.207936,0.23086,0.235272,0.267945,0.449972,0.258018
