Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-9.30412,0.511232,0.208658,0.324774,0.260891,0.215976,0.228448,0.272589,0.317454,0.581868,0.323395
-8.80412,0.486367,0.206053,0.308604,0.247652,0.200384,0.219798,0.252002,0.296304,0.554226,0.305625
-8.30412,0.447249,0.19858,0.27787,0.228506,0.179749,0.206228,0.223943,0.271892,0.507357,0.278705
-7.80412,0.402139,0.18838,0.239278,0.206049,0.161543,0.190292,0.197554,0.251644,0.451945,0.250372
-7.30412,0.359741,0.176983,0.20161,0.183842,0.150471,0.174393,0.178103,0.237287,0.401154,0.225871
-6.80412,0.325171,0.165241,0.172598,0.163815,0.147064,0.160275,0.165778,0.225167,0.363481,0.205858
-6.30412,0.299747,0.153519,0.155005,0.146418,0.14757,0.148224,0.157714,0.210895,0.339169,0.188533
-5.80412,0.285217,0.14135,0.146314,0.132162,0.146005,0.13783,0.150668,0.193797,0.318781,0.173229
-5.30412,0.283479,0.129355,0.142286,0.120659,0.138784,0.128705,0.14443,0.175882,0.295317,0.160133
-4.80412,0.294557,0.119221,0.14101,0.112182,0.126379,0.121493,0.14428,0.160648,0.269156,0.150954
-4.30412,0.314268,0.111322,0.142195,0.106907,0.111648,0.11684,0.155844,0.149829,0.244974,0.146582
-3.80412,0.333296,0.105349,0.144706,0.106366,0.097445,0.114659,0.176747,0.142592,0.229626,0.145688
-3.30412,0.345427,0.10119,0.146187,0.113167,0.0852944,0.113924,0.196451,0.135839,0.227746,0.144953
-2.80412,0.351267,0.0996269,0.144761,0.127912,0.076663,0.11429,0.202385,0.128104,0.238199,0.141439
-2.30412,0.354338,0.101909,0.140746,0.146826,0.0733618,0.116228,0.192475,0.12172,0.256273,0.136616
-1.80412,0.359545,0.108153,0.136693,0.163901,0.0767007,0.120752,0.176466,0.120199,0.277252,0.134896
-1.30412,0.370384,0.116758,0.134913,0.175416,0.0849824,0.127674,0.165499,0.125725,0.296921,0.138941
-0.804124,0.384606,0.125157,0.13634,0.181609,0.0937908,0.134876,0.163421,0.135625,0.3124,0.14689
-0.304124,0.408992,0.135418,0.141447,0.185531,0.103137,0.143642,0.170887,0.150318,0.327422,0.159652
0.195876,0.435194,0.145578,0.1471,0.185863,0.111715,0.150817,0.180839,0.163354,0.33946,0.171666
0.695876,0.452654,0.152094,0.149822,0.180895,0.119105,0.154212,0.183411,0.169831,0.343919,0.178294
1.19588,0.453947,0.153302,0.149235,0.172047,0.124339,0.154053,0.176739,0.170845,0.339125,0.17808
1.69588,0.438083,0.15186,0.148562,0.161234,0.128567,0.153395,0.165201,0.172157,0.327892,0.173162
2.19588,0.407788,0.149222,0.150009,0.153366,0.13127,0.154665,0.154192,0.176525,0.312447,0.16618
2.69588,0.374285,0.149039,0.155691,0.150963,0.134433,0.159588,0.149597,0.185613,0.302962,0.161444
3.19588,0.351596,0.152187,0.165353,0.153679,0.140447,0.16668,0.152141,0.19817,0.304915,0.161011
3.69588,0.346773,0.156148,0.176186,0.157566,0.149258,0.172191,0.158324,0.210823,0.312045,0.163793
4.19588,0.352817,0.158149,0.18525,0.15844,0.156965,0.17376,0.164245,0.220287,0.318105,0.166406
