Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-31.4028,0.394853,0.197074,0.29284,0.255114,0.167928,0.190417,0.187862,0.294064,0.186242,0.171602,0.241326,0.166107,0.265581,0.423823,0.2365,0.124661
-30.9028,0.398765,0.197467,0.289768,0.251921,0.16431,0.189328,0.185016,0.290145,0.187249,0.171789,0.234692,0.169051,0.262859,0.420725,0.239464,0.130957
-30.4028,0.409495,0.201067,0.291553,0.252637,0.164095,0.189956,0.184132,0.292808,0.191934,0.173114,0.231216,0.172781,0.262341,0.42195,0.244028,0.137484
-29.9028,0.420373,0.205148,0.292103,0.254536,0.165832,0.19032,0.183334,0.297198,0.196668,0.174455,0.228852,0.17695,0.260789,0.422264,0.249918,0.144302
-29.4028,0.428539,0.209448,0.28936,0.255629,0.169049,0.19038,0.181255,0.302842,0.199673,0.175556,0.226746,0.181848,0.256136,0.419854,0.256313,0.151187
-28.9028,0.426005,0.211133,0.280408,0.251792,0.171315,0.188308,0.176385,0.305461,0.195719,0.173906,0.223423,0.186473,0.246696,0.411264,0.25784,0.155759
-28.4028,0.408323,0.206491,0.263692,0.241605,0.17026,0.182106,0.169102,0.301122,0.182851,0.167079,0.217069,0.189199,0.233683,0.395042,0.251242,0.15705
-27.9028,0.380206,0.196816,0.243579,0.228225,0.165567,0.172676,0.160931,0.291116,0.16536,0.156391,0.207402,0.18918,0.219114,0.372205,0.237707,0.156409
-27.4028,0.35137,0.186131,0.226174,0.216471,0.159429,0.163179,0.153853,0.279194,0.149414,0.145586,0.196678,0.186126,0.206059,0.345598,0.223061,0.156845
-26.9028,0.326909,0.176005,0.212781,0.209001,0.153366,0.155195,0.148411,0.266258,0.137968,0.13689,0.186986,0.179871,0.195009,0.31698,0.210183,0.159765
-26.4028,0.308754,0.167585,0.203278,0.206925,0.148116,0.149896,0.144563,0.252533,0.131516,0.131942,0.179467,0.17208,0.186117,0.290265,0.200971,0.165489
-25.9028,0.296945,0.160986,0.196391,0.210099,0.143498,0.147568,0.142469,0.237589,0.128901,0.130919,0.174473,0.163968,0.179614,0.268954,0.195697,0.173137
-25.4028,0.292676,0.156833,0.192158,0.217951,0.140451,0.148204,0.142501,0.224069,0.129342,0.133193,0.172539,0.157318,0.176615,0.258301,0.194586,0.181796
-24.9028,0.295826,0.155526,0.19075,0.229274,0.14065,0.151249,0.144993,0.215211,0.13199,0.137909,0.173518,0.153579,0.178285,0.259752,0.19764,0.191179
-24.4028,0.305644,0.157402,0.19231,0.242144,0.146326,0.155786,0.149835,0.21324,0.135936,0.143941,0.177205,0.153101,0.184772,0.271189,0.204337,0.201096
-23.9028,0.319853,0.161944,0.196351,0.254636,0.159032,0.160884,0.156312,0.21812,0.140363,0.150531,0.182803,0.155433,0.195183,0.288776,0.213733,0.211028
-23.4028,0.335061,0.168205,0.201638,0.264637,0.178135,0.165628,0.163134,0.227807,0.144384,0.157382,0.188672,0.159615,0.207466,0.307268,0.224296,0.220323
-22.9028,0.348706,0.175107,0.207081,0.270567,0.20018,0.169531,0.168952,0.239344,0.147735,0.163799,0.193683,0.164413,0.220071,0.323122,0.234632,0.228567
-22.4028,0.358611,0.181205,0.211487,0.270393,0.219207,0.172185,0.172691,0.249822,0.150308,0.168912,0.196978,0.168331,0.231916,0.334698,0.24337,0.235552
-21.9028,0.364033,0.185588,0.214105,0.263573,0.230229,0.173375,0.173934,0.257296,0.152306,0.172216,0.198805,0.170513,0.242293,0.340793,0.249582,0.241462
-21.4028,0.364975,0.187764,0.214578,0.251012,0.231061,0.173208,0.172898,0.261051,0.153942,0.173385,0.199513,0.170711,0.250945,0.340996,0.253027,0.246398
-20.9028,0.362323,0.187639,0.213315,0.235469,0.223911,0.171945,0.170307,0.261523,0.155376,0.173477,0.199038,0.169347,0.258132,0.335832,0.253907,0.250232
-20.4028,0.35742,0.185525,0.211084,0.220472,0.212223,0.169678,0.167096,0.259617,0.1567,0.173081,0.197506,0.167101,0.264384,0.327268,0.252254,0.252958
-19.9028,0.351659,0.182167,0.208624,0.207901,0.199709,0.166753,0.164019,0.256763,0.157833,0.172594,0.194864,0.164063,0.269806,0.318241,0.248676,0.254932
-19.4028,0.34555,0.178538,0.206228,0.198747,0.189553,0.16361,0.161372,0.253417,0.15871,0.172428,0.191681,0.160207,0.273439,0.311108,0.243893,0.256701
-18.9028,0.339731,0.176219,0.204451,0.193641,0.183301,0.161528,0.159432,0.251247,0.160044,0.173065,0.189206,0.156214,0.274394,0.30826,0.239404,0.259605
-18.4028,0.335258,0.176446,0.204245,0.193299,0.181931,0.162065,0.15888,0.251926,0.162663,0.175597,0.188749,0.153699,0.273012,0.311713,0.237227,0.264806
-17.9028,0.334046,0.179664,0.206593,0.197251,0.184249,0.165956,0.160486,0.256601,0.167031,0.180631,0.191234,0.154358,0.271344,0.322366,0.238498,0.272911
-17.4028,0.339442,0.185856,0.212304,0.205083,0.189049,0.173284,0.165096,0.266193,0.173247,0.188811,0.19665,0.159509,0.27243,0.33988,0.243853,0.284205
-16.9028,0.35297,0.194464,0.221115,0.215755,0.195429,0.183026,0.17285,0.280238,0.180405,0.199835,0.204152,0.169092,0.278194,0.361937,0.25308,0.298183
-16.4028,0.37357,0.20533,0.232279,0.228843,0.203182,0.194369,0.183379,0.2981,0.187477,0.213096,0.212807,0.182183,0.288531,0.38604,0.265341,0.314518
