Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-10.6533,0.432702,0.219018,0.235706,0.264507,0.256723,0.224898,0.309541,0.233603,0.249936,0.230434,0.238498,0.29696,0.510241,0.264604
-10.1533,0.445644,0.221055,0.231118,0.27018,0.258199,0.227029,0.319299,0.243103,0.264457,0.236173,0.247381,0.290772,0.526666,0.268306
-9.6533,0.441273,0.223475,0.218163,0.262434,0.254068,0.22416,0.320524,0.233383,0.268907,0.235338,0.249491,0.279913,0.531604,0.271946
-9.1533,0.420725,0.226209,0.203382,0.243612,0.247462,0.216216,0.315023,0.210269,0.259991,0.230922,0.244189,0.26859,0.526863,0.274426
-8.6533,0.392748,0.227122,0.194667,0.220594,0.238024,0.206056,0.304027,0.180377,0.240315,0.224679,0.231197,0.258903,0.507924,0.275999
-8.1533,0.360964,0.222193,0.193574,0.201622,0.222981,0.195158,0.288734,0.15107,0.210684,0.216887,0.211925,0.248872,0.471706,0.277327
-7.6533,0.333068,0.214104,0.194704,0.190659,0.208098,0.187941,0.271587,0.131904,0.184912,0.210383,0.195904,0.241472,0.438063,0.276881
-7.1533,0.308036,0.206671,0.19492,0.184866,0.196579,0.185533,0.253705,0.120777,0.167541,0.204764,0.187575,0.237492,0.412141,0.2731
-6.6533,0.286267,0.203501,0.194078,0.182414,0.189267,0.187497,0.238941,0.11603,0.16266,0.200832,0.190011,0.238282,0.400781,0.264651
-6.1533,0.26998,0.205975,0.19431,0.181712,0.185351,0.193137,0.229026,0.114759,0.170957,0.198749,0.20252,0.245889,0.402531,0.251163
-5.6533,0.264831,0.212731,0.198307,0.181364,0.184196,0.199355,0.226212,0.113927,0.18725,0.198392,0.219061,0.257041,0.412795,0.237017
-5.1533,0.265471,0.220568,0.203497,0.17932,0.180779,0.202793,0.225378,0.112527,0.204189,0.197782,0.233186,0.267257,0.43055,0.224262
-4.6533,0.267677,0.227403,0.205272,0.17398,0.17161,0.202149,0.223724,0.111116,0.217155,0.195907,0.240345,0.273788,0.453868,0.214929
-4.1533,0.267827,0.231832,0.201102,0.164996,0.157153,0.197944,0.22147,0.109605,0.224519,0.191714,0.238877,0.274168,0.475322,0.210061
-3.6533,0.262693,0.231988,0.191597,0.153866,0.142826,0.191249,0.220413,0.107187,0.224314,0.184464,0.22928,0.268209,0.484116,0.210197
-3.1533,0.252076,0.225658,0.179516,0.143582,0.133299,0.182456,0.221202,0.103202,0.216713,0.17385,0.2143,0.259248,0.473962,0.212335
-2.6533,0.239658,0.213464,0.167314,0.136813,0.129837,0.17191,0.222515,0.0976698,0.205144,0.161707,0.197333,0.248042,0.445756,0.213116
-2.1533,0.232478,0.198596,0.156578,0.134672,0.129204,0.160508,0.222578,0.0921289,0.192866,0.151134,0.181995,0.234955,0.409557,0.211673
-1.6533,0.236051,0.184855,0.149497,0.135869,0.128495,0.149344,0.219186,0.08814,0.183997,0.145751,0.170176,0.220884,0.373436,0.207145
-1.1533,0.247495,0.1769,0.146534,0.138485,0.125768,0.141716,0.216886,0.0867603,0.180661,0.147621,0.162871,0.212528,0.349207,0.204009
-0.653305,0.266817,0.175066,0.144788,0.14541,0.12352,0.138003,0.224417,0.0884976,0.182106,0.15557,0.159889,0.214094,0.336068,0.202675
-0.153305,0.28866,0.1767,0.144701,0.153837,0.123949,0.137937,0.240109,0.0932491,0.184775,0.164501,0.160939,0.221627,0.329129,0.203482
0.346695,0.312588,0.181361,0.147416,0.166594,0.127448,0.143944,0.262113,0.10471,0.189349,0.174434,0.166955,0.230827,0.328557,0.209678
0.846695,0.333239,0.190064,0.158107,0.17946,0.135203,0.157122,0.284378,0.123207,0.196169,0.183777,0.179562,0.238391,0.334613,0.223806
1.3467,0.350277,0.204241,0.180644,0.188867,0.147632,0.180825,0.298307,0.146856,0.207486,0.194373,0.197735,0.247874,0.354102,0.24882
1.8467,0.363879,0.223504,0.206886,0.196312,0.163186,0.21128,0.299287,0.166681,0.226531,0.205197,0.21549,0.261068,0.389675,0.273096
2.3467,0.387248,0.245335,0.231001,0.203529,0.184524,0.240303,0.29609,0.18117,0.251339,0.217562,0.230143,0.281608,0.433653,0.2945
2.8467,0.4206,0.262065,0.248867,0.216562,0.213252,0.266713,0.293658,0.193806,0.276491,0.227865,0.241891,0.307245,0.472394,0.311104
3.3467,0.451814,0.274434,0.258959,0.232001,0.242968,0.286799,0.298672,0.205925,0.304851,0.228207,0.252658,0.341184,0.506399,0.326569
3.8467,0.476811,0.283944,0.263772,0.247205,0.268739,0.302188,0.310039,0.218519,0.33272,0.221498,0.263784,0.377994,0.539115,0.340383
4.3467,0.496278,0.296144,0.268917,0.262141,0.290215,0.313375,0.327969,0.229008,0.355373,0.214974,0.275721,0.406464,0.576316,0.350189
4.8467,0.514588,0.314558,0.278384,0.276257,0.308288,0.321683,0.352191,0.238149,0.365179,0.218579,0.28815,0.419632,0.61404,0.360846
5.3467,0.530997,0.336423,0.294345,0.287304,0.319518,0.327541,0.374209,0.248816,0.366138,0.236701,0.301259,0.421651,0.632746,0.374924
5.8467,0.53475,0.351723,0.306069,0.291105,0.315631,0.325984,0.383249,0.257602,0.365003,0.25491,0.308678,0.419395,0.63006,0.388633
6.3467,0.52956,0.35522,0.306208,0.291903,0.303687,0.319793,0.376417,0.261696,0.357041,0.265042,0.309021,0.417067,0.615097,0.397524
6.8467,0.520131,0.344056,0.293486,0.292586,0.287817,0.30719,0.356486,0.258088,0.336952,0.262959,0.301504,0.415223,0.598016,0.400079
7.3467,0.513654,0.316991,0.272941,0.29278,0.273782,0.288268,0.333131,0.24671,0.297451,0.248935,0.286015,0.405694,0.585216,0.399356
7.8467,0.512664,0.284715,0.256068,0.285998,0.262258,0.268265,0.315113,0.229825,0.250989,0.228707,0.267429,0.386833,0.578932,0.391125
8.3467,0.508931,0.25998,0.249572,0.262494,0.245833,0.249025,0.303328,0.211556,0.220731,0.209091,0.252647,0.35955,0.579322,0.366357
8.8467,0.497751,0.250284,0.251692,0.227616,0.226019,0.23277,0.297457,0.192419,0.210398,0.195496,0.244958,0.328159,0.586523,0.32996
9.3467,0.483425,0.256031,0.258949,0.197469,0.211232,0.225868,0.298662,0.17714,0.213831,0.19269,0.247406,0.304837,0.597388,0.296515
9.8467,0.476115,0.267978,0.268773,0.185406,0.210984,0.232305,0.31264,0.173338,0.22643,0.20309,0.257718,0.29799,0.611776,0.288233
10.3467,0.486205,0.280406,0.279414,0.19492,0.228451,0.253042,0.343925,0.182725,0.2481,0.227589,0.275487,0.309199,0.630347,0.307001
10.8467,0.516275,0.293596,0.289585,0.218727,0.26221,0.285828,0.387217,0.205446,0.278987,0.264259,0.301571,0.331582,0.657194,0.341718
11.3467,0.554739,0.312774,0.29941,0.245805,0.302222,0.321711,0.43182,0.235678,0.314966,0.303574,0.333338,0.361213,0.69735,0.38164
11.8467,0.595479,0.33708,0.31229,0.268826,0.338742,0.354637,0.471384,0.275648,0.342621,0.340609,0.367905,0.390528,0.746576,0.41539
12.3467,0.625875,0.356449,0.330091,0.279825,0.361407,0.373866,0.50313,0.311428,0.349159,0.365463,0.393699,0.407335,0.781928,0.435674
12.8467,0.647014,0.368971,0.352892,0.279237,0.370302,0.380871,0.534231,0.334415,0.341574,0.379686,0.4078,0.412937,0.795056,0.447658
13.3467,0.663169,0.373426,0.372538,0.272964,0.368073,0.379598,0.553134,0.343933,0.329913,0.380307,0.411319,0.41095,0.785024,0.456206
13.8467,0.664346,0.372552,0.380425,0.266299,0.356147,0.370047,0.547669,0.340547,0.323799,0.363581,0.403145,0.402875,0.760349,0.460982
14.3467,0.642324,0.36359,0.367005,0.263058,0.337335,0.354512,0.514492,0.331879,0.318401,0.334242,0.384991,0.389077,0.737476,0.452399
14.8467,0.601425,0.3435,0.342646,0.258513,0.316475,0.334361,0.470818,0.317863,0.302492,0.304571,0.365326,0.369935,0.719029,0.42343
15.3467,0.5524,0.314347,0.320852,0.249461,0.294202,0.309934,0.442556,0.297491,0.281652,0.286747,0.347386,0.348398,0.699286,0.378603
15.8467,0.509036,0.282248,0.305199,0.232991,0.274462,0.284493,0.428242,0.273959,0.261765,0.277228,0.332116,0.327877,0.669152,0.338109
16.3467,0.475371,0.254159,0.291401,0.212338,0.261778,0.259648,0.416828,0.256528,0.24884,0.267829,0.317665,0.310293,0.628364,0.312474
16.8467,0.449739,0.235331,0.276271,0.192239,0.257038,0.240201,0.404923,0.253296,0.241095,0.255341,0.305916,0.297169,0.591627,0.304143
