Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,Atlas
-0.524263,0.263256,0.136453,0.179998,0.158687,0.151771,0.158314,0.16965,0.228976,0.14512,0.13336,0.157604,0.141426,0.211333,0.312724,0.197703,0.182728
-0.0242627,0.283106,0.141802,0.186048,0.16934,0.15343,0.16912,0.17656,0.228714,0.144275,0.139715,0.165931,0.147298,0.21716,0.326843,0.204237,0.182659
0.475737,0.298781,0.143597,0.18749,0.177121,0.155302,0.177076,0.181237,0.226688,0.142565,0.142387,0.168247,0.151802,0.224249,0.339554,0.211107,0.1822
0.975737,0.305803,0.141083,0.185784,0.179861,0.152815,0.181317,0.182119,0.222886,0.140322,0.140597,0.165967,0.153177,0.230327,0.345932,0.214818,0.181537
1.47574,0.309714,0.137568,0.183138,0.179317,0.147896,0.184516,0.179369,0.21692,0.136632,0.137971,0.163246,0.153124,0.234615,0.345648,0.21538,0.179439
1.97574,0.314093,0.135016,0.179085,0.175403,0.14277,0.18616,0.173866,0.20916,0.130327,0.136335,0.16085,0.152069,0.237105,0.339204,0.214919,0.175761
2.47574,0.316642,0.133859,0.171271,0.166037,0.137707,0.183531,0.167062,0.199868,0.121075,0.134779,0.157299,0.147943,0.235028,0.328278,0.213884,0.171547
2.97574,0.314846,0.133331,0.161379,0.152114,0.133766,0.175303,0.161117,0.191143,0.110591,0.133624,0.152572,0.141488,0.229706,0.316628,0.213135,0.167293
3.47574,0.308283,0.131852,0.151955,0.135489,0.129427,0.163512,0.15624,0.184367,0.10239,0.132479,0.147266,0.134138,0.223373,0.306209,0.211704,0.163267
3.97574,0.299632,0.129994,0.144608,0.117859,0.12487,0.15213,0.15104,0.180626,0.0988681,0.130974,0.142317,0.128091,0.217672,0.291903,0.209111,0.15947
