Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
29.9553,0.481552,0.462442,0.439958,0.49211,0.445905,0.55421,0.789766,0.505745
30.4553,0.488424,0.456173,0.451484,0.500747,0.437272,0.559074,0.809599,0.508904
30.9553,0.46589,0.429372,0.441259,0.480248,0.417472,0.544728,0.789801,0.486713
31.4553,0.40733,0.373278,0.399749,0.422807,0.376489,0.497396,0.732341,0.435552
31.9553,0.329913,0.29732,0.338405,0.340146,0.321196,0.424427,0.650202,0.36392
32.4553,0.266971,0.23549,0.287893,0.268204,0.273173,0.358237,0.581342,0.30763
32.9553,0.252006,0.218774,0.271089,0.245756,0.25508,0.33768,0.569759,0.300576
33.4553,0.292661,0.254232,0.294526,0.278002,0.280555,0.381187,0.618932,0.351601
33.9553,0.368365,0.321269,0.341524,0.350915,0.337647,0.46692,0.700261,0.436246
34.4553,0.442043,0.384101,0.385906,0.424061,0.3969,0.549014,0.769156,0.511683
34.9553,0.48755,0.421543,0.414053,0.470947,0.434292,0.598658,0.800278,0.552206
35.4553,0.492541,0.422319,0.421564,0.476162,0.436733,0.603067,0.794856,0.552566
35.9553,0.464785,0.392969,0.414398,0.446384,0.412917,0.574073,0.767649,0.523625
36.4553,0.420686,0.353178,0.4003,0.407455,0.379052,0.53138,0.734192,0.482593
36.9553,0.374793,0.322646,0.382976,0.385111,0.348689,0.491937,0.706933,0.444832
37.4553,0.340203,0.310997,0.366262,0.384841,0.326687,0.466481,0.694074,0.422027
37.9553,0.318968,0.313052,0.352689,0.396978,0.313499,0.45376,0.692747,0.414488
38.4553,0.30706,0.319331,0.341805,0.404468,0.30778,0.449556,0.694365,0.414316
38.9553,0.30132,0.32283,0.33575,0.404109,0.305229,0.44784,0.694662,0.416964
39.4553,0.298357,0.322409,0.332097,0.398315,0.306142,0.446581,0.691943,0.419278
