ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-25.4913,0.25989806249999997,-0.9255383225380552,-0.24054561679714062,-0.0457311058549697
-24.9913,0.2984718749999999,-0.8841341156069605,-0.26388916723667616,-0.050169043200889
-24.4913,0.34470231249999994,-0.8249649116422096,-0.2843673127744278,-0.0540622267631992
-23.9913,0.3873700625,-0.7769491655440358,-0.300966846816116,-0.0572180317140905
-23.4913,0.41470943750000006,-0.7557062599069623,-0.3133985179612452,-0.0595814672930124
-22.9913,0.43006225000000003,-0.7496014105740042,-0.32237526923463006,-0.0612880739989791
-22.4913,0.437862,-0.7522701353507789,-0.3293905060049627,-0.0626217692024644
-21.9913,0.44256918749999996,-0.7596929196262581,-0.3362166781884958,-0.0639195205681551
-21.4913,0.4492722500000001,-0.7664940586031026,-0.34436451032024784,-0.0654685380836973
-20.9913,0.45937237500000005,-0.7716868147802498,-0.3544916048617885,-0.0673938412284769
-20.4913,0.4719989375,-0.7752859439963309,-0.36593414182495265,-0.0695692284838313
-19.9913,0.48385356250000006,-0.7787097311067833,-0.3767814775494342,-0.0716314596101586
-19.4913,0.490948375,-0.7837938893572287,-0.3848023363148612,-0.0731563377024451
-18.9913,0.4907040625,-0.7921805906724703,-0.38872623407663076,-0.0739023258700819
-18.4913,0.4835273125,-0.8034148597118588,-0.3884730279390396,-0.0738541878211102
-17.9913,0.4731045,-0.8123043009120589,-0.38430482013084916,-0.0730617528765873
-17.4913,0.4655205,-0.8087337606896092,-0.37648214464310725,-0.0715745522135185
-16.9913,0.46649175,-0.7846595878670823,-0.36603722429839397,-0.0695888259122422
-16.4913,0.4773461875,-0.7462905771767723,-0.35623896178250675,-0.0677260383616933
-15.9913,0.494421125,-0.7147208998189635,-0.3533731113495042,-0.0671811998763316
-15.4913,0.5103260625,-0.7124426419836277,-0.3635780482406019,-0.0691213019468825
-14.9913,0.5184512499999999,-0.7446402935391452,-0.38605969098573667,-0.0733953785143986
-14.4913,0.5148865625,-0.7980363787163269,-0.4108982077871977,-0.0781175299975661
-13.9913,0.4977753125,-0.8542098613971634,-0.4252045806975547,-0.0808373727561891
-13.4913,0.46710549999999995,-0.90266588123924,-0.42164019778919576,-0.0801597334199992
-12.9913,0.42541943750000005,-0.9479202469253106,-0.4032636982418268,-0.0766661023273435
-12.4913,0.3798650625,-1.0034093154703094,-0.38116014233421136,-0.0724639053867322
-11.9913,0.3432118125,-1.0676225567501239,-0.3664206727680941,-0.0696617248608544
-11.4913,0.32432787500000004,-1.1153445265525115,-0.3617373201896572,-0.0687713536482238
-10.9913,0.32245912499999996,-1.1150382715160383,-0.3595542653745741,-0.0683563242156985
-10.4913,0.3264128125,-1.0705336043635052,-0.349435884676054,-0.0664326776950673
-9.99129,0.3226006875,-1.0148882831145496,-0.32740365786844833,-0.0622440414198571
-9.49129,0.3073853125,-0.9736365584270292,-0.2992815777735169,-0.0568976383599842
-8.99129,0.2877616875,-0.9547279863799175,-0.27473413646416206,-0.0522308244228445
-8.49129,0.27223418749999995,-0.9477831870371922,-0.2580189858492305,-0.0490530391348347
-7.99129,0.2622098125,-0.9390287809664563,-0.24622256058931805,-0.0468103727356118
-7.49129,0.254319375,-0.9200837787360296,-0.23399513155578536,-0.0444857664554725
-6.99129,0.24659200000000003,-0.8810629179712787,-0.2172630670683736,-0.0413047656023524
-6.49129,0.24200256250000002,-0.807229438901284,-0.1953515927395479,-0.0371390860721574
-5.99129,0.24543700000000002,-0.7009666323565447,-0.17204314734569326,-0.0327078226892953
-5.49129,0.25904812499999996,-0.5970095913182283,-0.1546542152380033,-0.0294019420604569
-4.99129,0.2805384999999999,-0.5357128732706793,-0.15028808589804643,-0.0285718794482978
-4.49129,0.30577,-0.5224124678498032,-0.15973806029443433,-0.030368452527459
