ArcLength, AverageFA, Beta, RelBeta, HighExposureBeta
-13.997,0.13104901874999997,-0.0284933998828467,-0.2309802237152237,-0.3527357225745761
-13.497,0.13667065624999997,-0.0301550085770301,-0.23917137374338115,-0.3652446342789007
-12.997,0.14004633125000002,-0.0306052700952815,-0.23959894962486922,-0.3658975961865751
-12.497,0.14164213125000003,-0.0300078388288624,-0.23524674740441026,-0.3592512384580581
-11.997,0.1401512375,-0.028730003331816,-0.2299984654884207,-0.35123645483660804
-11.497,0.13567130000000002,-0.0273163905058371,-0.22630172986412583,-0.34559107667120065
-10.997,0.1325026875,-0.0264943096426615,-0.22366731295314596,-0.3415679921936185
-10.497,0.13777131249999996,-0.0267389618755506,-0.2189895743731622,-0.33442449968380156
-9.99704,0.15161506249999998,-0.0280217500830509,-0.21109983991772316,-0.3223758872991674
-9.49704,0.17115956249999997,-0.0299866013746824,-0.20133917455553418,-0.3074701291612535
-8.99704,0.19460075,-0.0322393272462317,-0.19144425899982015,-0.2923593541684022
-8.49704,0.218586375,-0.0344289445093695,-0.1827802540345434,-0.2791283337690779
-7.99704,0.2385543125,-0.0362406537410631,-0.17582224827255935,-0.26850258776080727
-7.49704,0.25322262500000003,-0.0375034041212361,-0.1703227771800954,-0.2601042068155626
-6.99704,0.2631041875,-0.0382462840107401,-0.1658332389268931,-0.25324811976924494
-6.49704,0.26989662500000006,-0.0387000057656836,-0.16210406764261848,-0.2475532082897897
-5.99704,0.2760265625,-0.0392771861999838,-0.15930306240651096,-0.24327572258126565
-5.49704,0.28472624999999996,-0.040418623363176,-0.15771512889992642,-0.24085074929205427
-4.99704,0.29846718749999995,-0.0424069049803946,-0.15755660646456587,-0.24060866568471428
-4.49704,0.317062625,-0.0451907266947918,-0.15883515327775938,-0.2425611667549066
-3.99704,0.3372516875,-0.0482124538761932,-0.1608042835002193,-0.24556827515878096
-3.49704,0.3534829375,-0.0505265215993289,-0.16196115637252684,-0.2473349648864844
-2.99704,0.3620665625,-0.0512967390226721,-0.16078918301103778,-0.24554521482107328
-2.49704,0.3631881874999999,-0.0503625078130914,-0.15677848694602864,-0.23942037975180686
-1.99704,0.36031199999999997,-0.0484249551342227,-0.1510746916098238,-0.2307099701029954
-1.49704,0.3581341875,-0.0465692115641618,-0.14576333365663616,-0.22259886147501295
-0.99704,0.358660875,-0.0455040789899283,-0.1420646570622115,-0.21695051920518915
-0.49704,0.36370712499999996,-0.0451897214809138,-0.13923783411750462,-0.21263360662300668
0.00296022,0.373279,-0.0450014018750025,-0.13549494691358283,-0.20691774921688422
0.50296,0.3833623124999999,-0.0442236565255918,-0.12990732361833335,-0.19838474882047644
1.00296,0.38944431250000006,-0.0425796760293914,-0.12340181477797117,-0.18845002226852015
1.50296,0.386839375,-0.0404095802359803,-0.11833462780779344,-0.1807117933041661
2.00296,0.3734610625,-0.038408711013426,-0.11745451868358148,-0.17936775647330677
2.50296,0.3498373125,-0.0371710824556311,-0.12304037174011358,-0.18789805349354205
3.00296,0.31949268749999993,-0.0368323834406371,-0.1360621593296164,-0.20778395359665633
3.50296,0.28776425000000005,-0.0370499313099095,-0.15519759770093017,-0.2370061639318945
4.00296,0.2597620625,-0.0372342871751466,-0.17599629015038443,-0.26876837149997507
4.50296,0.23825393749999996,-0.0368672965524457,-0.19205098248094485,-0.2932858968917365
5.00296,0.22318337500000002,-0.0357587367075608,-0.19901768705054063,-0.3039249270684053
5.50296,0.212834,-0.0341122605799685,-0.19776444784535266,-0.30201107388439513
6.00296,0.20484200000000002,-0.0324319424761367,-0.19341494940984552,-0.2953688451740396
6.50296,0.197785,-0.0312892512877313,-0.19141306858914392,-0.29231172250595805
7.00296,0.1927673125,-0.0310672984525053,-0.1942323936988178,-0.2966171849552436
7.50296,0.1921065,-0.031825427795085,-0.20072184543626423,-0.3065273903005427
8.00296,0.19702137499999997,-0.0331743127624189,-0.20695048655364573,-0.31603930517298673
8.50296,0.2044304375,-0.0342382037607892,-0.20839363173530268,-0.3182431685611328
9.00296,0.20849475,-0.0340873436368683,-0.2027973969562866,-0.30969701735077226
9.50296,0.2075934375,-0.0322969862623202,-0.19053956154062704,-0.29097776787132895
10.003,0.20081987499999998,-0.0290841986110822,-0.17352669500290877,-0.26499699049254527
10.503,0.18959462499999996,-0.0255272361265596,-0.15668090316389457,-0.23927135709805333
11.003,0.18246443749999997,-0.0229488718200005,-0.14663649573021684,-0.22393228928972028
11.503,0.17761049999999995,-0.0209612559451269,-0.14188146714915703,-0.2166707652708034
12.003,0.1720125,-0.0173637704240389,-0.12847142200532338,-0.19619194726861922
12.503,0.1546150125,-0.0105645914803091,-0.08899300860837056,-0.1359034669317021
