ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-18.7941,0.30460768749999995,0.17090770376539038,0.052059800419910596,0.00989730046005905
-18.2941,0.2666526875,-0.027828009543000968,-0.007420413532416854,-0.0014107250061629
-17.7941,0.2358849375,-0.2664938403985327,-0.06286188288654286,-0.0119509283054264
-17.2941,0.21434381250000004,-0.5341114890614717,-0.1144834928654879,-0.0217649225980015
-16.7941,0.19427518749999997,-0.8405604238627314,-0.16330003395101161,-0.0310456338309908
-16.2941,0.18022524999999998,-1.1612924440737726,-0.20929422105630666,-0.039789775866218
-15.7941,0.17364312499999998,-1.4419204980065867,-0.25037958127542,-0.0476006808508403
-15.2941,0.17815799999999998,-1.5900441495912963,-0.2832790856028861,-0.0538553394682293
-14.7941,0.19178650000000003,-1.592309141776478,-0.30538339721931457,-0.0580576800797176
-14.2941,0.209087875,-1.5192136632865991,-0.31764915652756054,-0.0603895734843271
-13.7941,0.22364243749999996,-1.4562001988950504,-0.3256681619688738,-0.0619140992336262
-13.2941,0.2362659375,-1.421031594451069,-0.3357413618801016,-0.0638291562509699
-12.7941,0.2471666875,-1.4189888917800488,-0.35072678398057067,-0.0666780958137967
-12.2941,0.25776231250000003,-1.4334322878038672,-0.3694848213164904,-0.0702442626076978
-11.7941,0.26755875,-1.4500423099571655,-0.3879715078992518,-0.0737588418059414
-11.2941,0.2756413125,-1.4566400889413489,-0.40151018595591015,-0.0763327349726065
-10.7941,0.28514106249999993,-1.4288452980027775,-0.407422466420641,-0.0774567426655211
-10.2941,0.2980175,-1.3633991828508367,-0.4063168159752492,-0.077246542961074
-9.79409,0.31506400000000007,-1.2770369557975916,-0.4023483714414125,-0.0764920858253636
-9.29409,0.3362426874999999,-1.1962798667812535,-0.40224035740867053,-0.0764715508381503
-8.79409,0.3610868125,-1.1416411753554851,-0.4122315730278657,-0.0783710214881874
-8.29409,0.3884308125,-1.117879020837321,-0.434218656340545,-0.0825510753499135
-7.79409,0.4147576249999999,-1.1185049329544356,-0.4639084495429659,-0.0881955227267996
-7.29409,0.43621856249999996,-1.1289709677290591,-0.49247809264700404,-0.0936270138112175
