ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-40.0447,0.332003,-1.111486197052899,-0.36901675188015365,-0.0701552760228429
-39.5447,0.33139775,-1.1224320144305666,-0.3719714441102573,-0.0707170045836991
-39.0447,0.32953768749999995,-1.135257660036852,-0.37411018400520535,-0.0711236091264649
-38.5447,0.328071125,-1.1380729226661592,-0.3733688640711249,-0.0709826737777804
-38.0447,0.330273,-1.1150660088983242,-0.3682761959568762,-0.0700144859233605
-37.5447,0.34089075,-1.0551929870801708,-0.35970552876049977,-0.068385081513403
-37.0447,0.362127375,-0.9692626649652369,-0.3509965445493657,-0.0667293810930353
-36.5447,0.3895263125000001,-0.8903397965642608,-0.3468107778276767,-0.0659336079520298
-36.0447,0.4137344375,-0.8462086885789066,-0.3501056757768066,-0.066560014406237
-35.5447,0.42686387499999995,-0.8446480142144973,-0.36054972435865534,-0.0685455749731284
-35.0447,0.4235349375,-0.8858811239977503,-0.37520160648481693,-0.0713311038944519
-34.5447,0.4045759375,-0.9634615101722787,-0.3897933437231154,-0.0741051984264478
-34.0447,0.3792527499999999,-1.0580634942218157,-0.40127348985823263,-0.0762877357144929
-33.5447,0.36307493750000003,-1.1306647970051034,-0.41051605050607815,-0.0780448765220681
-33.0447,0.36733050000000006,-1.147727744340435,-0.42159540619244423,-0.0801512179073088
-32.5447,0.39286531250000006,-1.1118013820027763,-0.43678819737845265,-0.0830395812506564
-32.0447,0.42864668749999996,-1.0550143898892093,-0.452228423490843,-0.0859749854545329
-31.5447,0.456959625,-1.0041929067833595,-0.4588756141113839,-0.0872387099071072
-31.0447,0.46746000000000004,-0.9570963706925102,-0.44740426944392087,-0.0850578459018861
-30.5447,0.4560272499999999,-0.9087104265530376,-0.4143967168673086,-0.078782645792264
-30.0447,0.42542337500000005,-0.8603853209978297,-0.3660280270593551,-0.0695870773877101
-29.5447,0.38632081250000005,-0.8159670895589922,-0.3152250690116902,-0.0599287203444278
-29.0447,0.3498965625,-0.7866302444432317,-0.2752392184892215,-0.052326847621525
-28.5447,0.32554668750000004,-0.7799954321246708,-0.2539249291933177,-0.0482747013675509
-28.0447,0.31629412500000004,-0.7957139845548238,-0.25167965849503154,-0.0478478438203482
-27.5447,0.31975568750000005,-0.8267894222069666,-0.26437062011551643,-0.050260574166448
