ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-31.8123,0.14119728750000002,-0.8338576654325333,-0.11773844052015622,-0.0223837339391932
-31.3123,0.1556630375,-0.8682047675850983,-0.13514739129427794,-0.0256934203981517
-30.8123,0.1736913625,-0.8992102735397732,-0.1561850575851209,-0.0296929767272093
-30.3123,0.19392093750000003,-0.9313719286715093,-0.18061251756916225,-0.0343369805264567
-29.8123,0.21526487500000005,-0.956439531220099,-0.20588783613315326,-0.039142174169801
-29.3123,0.2334256875,-0.9760218006746295,-0.22782855983746336,-0.0433134144177687
-28.8123,0.24584187500000002,-0.9876141596314418,-0.242796916780343,-0.0461591096540576
-28.3123,0.2516710625,-0.9893903288257241,-0.24900091528279433,-0.0473385770499609
-27.8123,0.25099724999999995,-0.9836285029226013,-0.24688804925518984,-0.0469368914933821
-27.3123,0.24613056249999998,-0.9709665191100737,-0.23898453551722942,-0.0454343223416786
-26.8123,0.2395535625,-0.9545525182987761,-0.22866645635181826,-0.0434727103330453
-26.3123,0.2334386875,-0.9381328360837707,-0.2189964979560481,-0.0416343152007696
-25.8123,0.23002650000000002,-0.921077794084204,-0.21187230120091016,-0.0402799051712757
-25.3123,0.23013143749999998,-0.9025536084832124,-0.20770595934105385,-0.0394878249697821
-24.8123,0.233699875,-0.881807642924289,-0.206078335925451,-0.0391783908603519
-24.3123,0.24020068749999998,-0.8591366807942596,-0.2063652213832492,-0.0392329318219105
-23.8123,0.24822937499999997,-0.8377562793644256,-0.20795571762895676,-0.0395353075340222
-23.3123,0.25649349999999993,-0.8199625765825593,-0.21031507113667863,-0.0399838538282659
-22.8123,0.26383587500000005,-0.8078363687696622,-0.21313621521116655,-0.0405201930059252
-22.3123,0.26968806250000005,-0.8034493632737103,-0.21668070209814563,-0.0411940498285448
-21.8123,0.27395974999999995,-0.8096302494631055,-0.22180610073534995,-0.042168460215846
-21.3123,0.27699687500000003,-0.8290071785819103,-0.2296323978197561,-0.0436563493953909
-20.8123,0.2794889375,-0.8616894624780893,-0.24083267232294728,-0.0457856791488493
-20.3123,0.28168000000000004,-0.9055082504451019,-0.25506356398537633,-0.0484911718603377
-19.8123,0.28357818749999997,-0.9550974144938352,-0.270844793688098,-0.0514914056441251
-19.3123,0.2843484999999999,-1.0033860530935383,-0.2853113191180679,-0.0542416956498228
-18.8123,0.282482375,-1.0414328993075608,-0.29418643879953565,-0.055928980760368
-18.3123,0.275144625,-1.063316752913844,-0.29256588923669724,-0.0556208914898664
-17.8123,0.2584909375,-1.0749654649835834,-0.27786883082372993,-0.0528267739208612
-17.3123,0.23646862500000004,-1.069995033258515,-0.2530202542714704,-0.0481027099375419
-16.8123,0.21487743750000002,-1.045908591934289,-0.2247421580940732,-0.0427266460254892
-16.3123,0.19843493750000002,-1.0041013217834749,-0.19924878303177124,-0.037879996774101
-15.8123,0.1886818125,-0.9510805150024223,-0.17945159540409047,-0.0341162728905115
-15.3123,0.18310625,-0.9006844386555347,-0.16492094999557,-0.0313537927748232
-14.8123,0.17937587500000002,-0.860995204585086,-0.15444176819325384,-0.0293615528884513
-14.3123,0.1764580625,-0.8408472543859001,-0.14837427736738057,-0.0282080375223157
-13.8123,0.17455012499999997,-0.8510015303610874,-0.14854242349971908,-0.0282400044676272
-13.3123,0.174614625,-0.8933396476365781,-0.15599016756969322,-0.0296559253934778
-12.8123,0.1773139375,-0.9529579906635994,-0.16897273359665105,-0.0321240938396675
-12.3123,0.1826834375,-1.0059307755750837,-0.18376689196909732,-0.0349366714770147
-11.8123,0.18980512500000002,-1.0412945005501077,-0.19764303283872578,-0.0375747210720011
-11.3123,0.1970589375,-1.0689266242448603,-0.21064154483915393,-0.0400459210720825
-10.8123,0.203206125,-1.1023315987388425,-0.22400053264477507,-0.0425856525940637
-10.3123,0.2077755625,-1.1420087065374211,-0.23728150138071014,-0.0451105515932909
-9.81233,0.2119556875,-1.168832119382859,-0.24774061543587597,-0.0470989763186076
-9.31233,0.21685343749999997,-1.1656881220472606,-0.25278347631886794,-0.0480576951176555
-8.81233,0.22192812499999998,-1.1366673931728628,-0.25225846331549123,-0.0479578827595991
-8.31233,0.22549750000000002,-1.1012685066835357,-0.2483332950858706,-0.0472116530581503
-7.81233,0.226295375,-1.0796381251141522,-0.24431711438700401,-0.0464481206058943
-7.31233,0.22554300000000002,-1.0767611659401883,-0.2428559436496479,-0.0461703314923285
-6.81233,0.22615549999999995,-1.0823077131116814,-0.24476984201262883,-0.0465341904966975
-6.31233,0.23055724999999996,-1.0806515738854636,-0.24915205508320426,-0.0473673108523202
-5.81233,0.238968125,-1.06260880418985,-0.2539296335457406,-0.0482755957311294
-5.31233,0.24969987500000002,-1.0292050972850002,-0.2569923841414274,-0.0488578677074957
-4.81233,0.26137112500000004,-0.9861199796282885,-0.2577432884604229,-0.0490006251825899
-4.31233,0.27465743749999993,-0.9395602286824536,-0.25805720478683664,-0.0490603050925545
-3.81233,0.293452,-0.8903490596490252,-0.26127471225212573,-0.0496719985270201
-3.31233,0.3213596875,-0.8348243509173823,-0.2682788925282003,-0.0510035917353993
-2.81233,0.3542818750000001,-0.7766308098874123,-0.27514621950968104,-0.0523091672071637
-2.31233,0.3792586875000001,-0.7291512761794857,-0.27653695599278183,-0.0525735657780954
-1.81233,0.383592125,-0.7031439619447035,-0.26972048654328795,-0.0512776590386479
-1.31233,0.36762881249999996,-0.7000491218826271,-0.25735822736937797,-0.048927419651973
-0.812329,0.348411,-0.705449168266709,-0.24578625016497238,-0.0467274239857362
-0.312329,0.336182875,-0.7166306779622407,-0.24091896163054521,-0.0458020839601797
0.187671,0.34441774999999997,-0.7187573336670972,-0.24755278365762085,-0.047063266855061
0.687671,0.3654695,-0.7259638158673387,-0.26531763280312837,-0.0504406146013552
1.18767,0.38043506250000003,-0.754210532511593,-0.28692813107420617,-0.0545490743487084
1.68767,0.38766256250000003,-0.7811010355958987,-0.30280362903050984,-0.0575672298537091
2.18767,0.3783380625,-0.8070470847279533,-0.3053366303822472,-0.0580487890460546
2.68767,0.3551516249999999,-0.8279489073912694,-0.29404739987698375,-0.05590254750513
3.18767,0.3263725625000001,-0.8468263817713411,-0.27638089621131595,-0.0525438966181209
3.68767,0.29850468750000003,-0.8733524069123509,-0.2606997873027442,-0.0495626972058449
4.18767,0.2735906875,-0.9110034460222038,-0.24924205911208389,-0.0473844218844266
4.68767,0.251658875,-0.9462097749197432,-0.2381220874703058,-0.0452703588346589
5.18767,0.23291200000000004,-0.9579389083693822,-0.22311546702612958,-0.0424173891684657
5.68767,0.2194685,-0.9328815564369307,-0.20473811586887855,-0.0389235961727906
6.18767,0.2131826875,-0.8847250828609137,-0.18860807086294976,-0.035857047692576
6.68767,0.21338493749999995,-0.8486710986457799,-0.18109362934258605,-0.0344284466430772
7.18767,0.21682893749999999,-0.8503191379901244,-0.18437379522631453,-0.0350520523243944
7.68767,0.22062368749999997,-0.8873937982730519,-0.19578009203963181,-0.0372205498174205
8.18767,0.2235739375,-0.9395232382630487,-0.21005290975122046,-0.0399340132606883
8.68767,0.225435875,-0.9829648903465618,-0.2215955501495562,-0.0421284315873681
9.18767,0.22607681249999997,-1.0030488438679455,-0.22676608540347523,-0.0431114230805086
