ArcLength, Average, RelBeta, ExpCorreBetas, ExpBetas
-20.3041,0.16549230625,-1.5937183761820015,-0.2637481295873645,-0.050142229959575
-19.8041,0.16697484375,-1.5668278823130186,-0.26162084083235965,-0.0497378024396121
-19.3041,0.17036821249999998,-1.522219310562463,-0.2593377829735092,-0.0493037610215797
-18.8041,0.17379388124999998,-1.478469464852727,-0.25694894660636586,-0.0488496096209821
-18.3041,0.17732874999999998,-1.4357871493725032,-0.25460634046428926,-0.0484042472365569
-17.8041,0.181225875,-1.393454040201904,-0.25252992770787525,-0.0480094919596721
-17.3041,0.18451268749999997,-1.3602693559142716,-0.25098695458363623,-0.0477161510615278
-16.8041,0.18729856250000002,-1.336589911754453,-0.25034136912361094,-0.047593416183196
-16.3041,0.18982225000000003,-1.3231958183832473,-0.2511720074360994,-0.0477513322121862
-15.8041,0.19218024374999998,-1.3235033644656917,-0.2543511991869617,-0.0483557412902969
-15.3041,0.194681075,-1.3403388190643366,-0.26093860215967557,-0.0496080992699003
-14.8041,0.19778731250000003,-1.374400751634757,-0.2718390309638186,-0.0516804241376081
-14.3041,0.202212125,-1.420896933900009,-0.2873225884099054,-0.0546240662376246
-13.8041,0.20936375000000002,-1.4646044029597227,-0.30663507007015867,-0.0582956406977488
-13.3041,0.22025681249999998,-1.489072845222085,-0.3279784384689223,-0.0623533152982742
-12.8041,0.2345518125,-1.488003383058926,-0.34901389050260295,-0.0663524506658941
-12.3041,0.25057387500000006,-1.4673915898018888,-0.36768999679906983,-0.0699030412165532
-11.8041,0.2663856875,-1.4372286207991707,-0.38285713424626394,-0.0727865274232441
-11.3041,0.281248875,-1.4015664993294668,-0.3941890011741008,-0.0749408747479279
-10.8041,0.2949429375,-1.3611913254333974,-0.4014737680228447,-0.0763258114111872
-10.3041,0.30613418750000004,-1.3194257118871282,-0.40392131827517513,-0.0767911251473717
-9.80412,0.31174568750000003,-1.2836980185868705,-0.4001873213467518,-0.0760812397997627
-9.30412,0.30781225,-1.2644827805801275,-0.3892232897766254,-0.0739968231514497
