Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,036_12months_DTI_antsBM
-7.31114,0.318595,0.317771,0.277739,0.311225,0.308169,0.308383,0.340123,0.312057,0.29556,0.27273,0.287598,0.331057,0.294146,0.280212,0.283295,0.294756,0.281557,0.264153,0.287928,0.270017,0.279178,0.280839,0.278115,0.286138,0.292809,0.301122,0.296596,0.288285,0.308652,0.281933,0.318583
-6.81114,0.319502,0.307008,0.272096,0.299473,0.293783,0.296667,0.326941,0.308737,0.286305,0.265921,0.277111,0.322105,0.265436,0.267931,0.271028,0.28661,0.276105,0.256152,0.278215,0.259949,0.268888,0.272262,0.270366,0.276325,0.285031,0.295298,0.285399,0.279205,0.297897,0.271759,0.307374
-6.31114,0.328916,0.30635,0.272988,0.296322,0.287421,0.296824,0.322083,0.312732,0.289069,0.2596,0.274121,0.322748,0.258152,0.26798,0.270124,0.289061,0.276955,0.253675,0.27714,0.257867,0.266984,0.275241,0.265792,0.276435,0.281502,0.294281,0.284003,0.275982,0.294439,0.268125,0.299293
-5.81114,0.338676,0.315656,0.282769,0.302226,0.290257,0.303523,0.325544,0.318287,0.299438,0.260265,0.279476,0.328667,0.26351,0.27647,0.278739,0.298606,0.281057,0.257214,0.282308,0.266679,0.271811,0.282259,0.265675,0.286908,0.281467,0.29676,0.290068,0.279457,0.298073,0.273417,0.297052
-5.31114,0.346472,0.334509,0.29939,0.315288,0.299384,0.312917,0.334919,0.323936,0.313496,0.271178,0.292466,0.337325,0.27562,0.289712,0.293255,0.311124,0.288689,0.267427,0.292867,0.283413,0.281855,0.290394,0.273204,0.302616,0.286883,0.304604,0.300836,0.290251,0.30796,0.289943,0.303163
-4.81114,0.353111,0.355576,0.317982,0.329139,0.312337,0.323607,0.345396,0.330029,0.327772,0.288718,0.307839,0.345407,0.29019,0.304159,0.309534,0.320957,0.299008,0.284091,0.309476,0.301154,0.294415,0.300469,0.2888,0.318146,0.298902,0.317483,0.314266,0.306294,0.320352,0.314301,0.317327
-4.31114,0.359708,0.368693,0.332759,0.337655,0.325206,0.333964,0.351935,0.337321,0.338589,0.306794,0.319249,0.351353,0.303888,0.316122,0.322011,0.325541,0.311124,0.303445,0.330486,0.314932,0.303514,0.310976,0.306782,0.330918,0.314328,0.330827,0.327998,0.321508,0.330993,0.339606,0.334328
-3.81114,0.365749,0.369333,0.339022,0.340006,0.335863,0.343603,0.35168,0.346483,0.345516,0.320255,0.322846,0.353736,0.314641,0.323268,0.327752,0.326916,0.321617,0.322276,0.350657,0.322939,0.30656,0.319177,0.32135,0.337806,0.32779,0.338681,0.338492,0.330732,0.336465,0.359688,0.347317
-3.31114,0.370128,0.36365,0.337869,0.3403,0.346331,0.35067,0.346709,0.356663,0.350384,0.328864,0.321513,0.351583,0.319711,0.32469,0.33027,0.327398,0.32792,0.337227,0.364544,0.326949,0.305698,0.321332,0.329607,0.33757,0.337888,0.339846,0.342947,0.333184,0.337058,0.368784,0.351251
-2.81114,0.371854,0.362265,0.332429,0.340273,0.355098,0.354365,0.342038,0.366743,0.354038,0.334438,0.320861,0.348452,0.32044,0.321902,0.332656,0.329242,0.329136,0.345709,0.369237,0.329536,0.303502,0.316744,0.332647,0.328481,0.345289,0.336014,0.341697,0.3303,0.335166,0.366403,0.345967
-2.31114,0.370589,0.365947,0.330179,0.337218,0.359086,0.356513,0.343419,0.371173,0.354228,0.338025,0.327528,0.346738,0.320764,0.318506,0.335618,0.331343,0.324894,0.34597,0.367345,0.33259,0.300353,0.307425,0.33418,0.314498,0.351231,0.331075,0.33773,0.324413,0.333649,0.357406,0.334571
-1.81114,0.368207,0.366123,0.334677,0.328009,0.357096,0.35904,0.35045,0.366878,0.347455,0.339136,0.343726,0.346848,0.322277,0.316069,0.339072,0.332132,0.318722,0.340243,0.361755,0.33708,0.295099,0.295909,0.336399,0.302178,0.353749,0.327713,0.334811,0.318676,0.333518,0.346301,0.321497
-1.31114,0.366535,0.357455,0.341819,0.313673,0.3495,0.362899,0.359319,0.357032,0.334069,0.335966,0.36536,0.34604,0.32538,0.314394,0.340193,0.329027,0.311971,0.33348,0.355909,0.340084,0.289641,0.285376,0.336697,0.295832,0.351945,0.326725,0.333101,0.314849,0.333156,0.337625,0.310108
-0.811136,0.365186,0.343915,0.345732,0.300029,0.340891,0.366069,0.36477,0.347578,0.319963,0.33046,0.381154,0.342613,0.327447,0.312198,0.338024,0.322533,0.305943,0.327759,0.351423,0.339909,0.286354,0.278146,0.333168,0.295645,0.347579,0.327774,0.330659,0.312632,0.331184,0.331953,0.302718
-0.311136,0.364389,0.330436,0.341626,0.292418,0.337509,0.368437,0.365421,0.345736,0.309881,0.324229,0.384492,0.334988,0.329586,0.309882,0.331426,0.312932,0.299877,0.32603,0.348916,0.336571,0.29049,0.274904,0.323725,0.300425,0.344172,0.333716,0.323248,0.313226,0.324661,0.327597,0.298741
