Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_14months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM
-19.2101,0.211729,0.211226,0.183435,0.205054,0.239566,0.212075,0.210467,0.186208,0.173333,0.189544,0.193214,0.16726,0.18471,0.160575,0.186564,0.187969,0.192041,0.178358,0.183473,0.222268,0.212283,0.220423,0.173349,0.191486,0.192639,0.172204,0.193493,0.199767,0.184256
-18.7101,0.208381,0.207809,0.183888,0.202083,0.243428,0.209647,0.207311,0.182651,0.171935,0.188517,0.192067,0.166792,0.183641,0.158388,0.185583,0.187306,0.189234,0.180214,0.183316,0.217461,0.218379,0.22539,0.17201,0.194224,0.192871,0.170058,0.190251,0.195209,0.185077
-18.2101,0.20865,0.21047,0.189096,0.202322,0.248489,0.211119,0.206991,0.18156,0.174941,0.190641,0.193555,0.168407,0.184008,0.158135,0.187255,0.190853,0.190137,0.182926,0.186194,0.21543,0.226529,0.233725,0.174475,0.202023,0.197758,0.171418,0.189654,0.195495,0.188744
-17.7101,0.212313,0.219984,0.197114,0.206668,0.254019,0.215407,0.208881,0.185182,0.182641,0.194778,0.197976,0.172221,0.187301,0.160586,0.192609,0.197941,0.193843,0.186919,0.191472,0.217192,0.234857,0.24287,0.180346,0.213634,0.205444,0.176497,0.191299,0.198992,0.194678
-17.2101,0.219171,0.234407,0.206661,0.215886,0.25867,0.222159,0.212565,0.194171,0.194441,0.200688,0.205758,0.178427,0.194594,0.166883,0.203145,0.208065,0.19972,0.192694,0.19921,0.223842,0.24292,0.251262,0.189101,0.22727,0.214718,0.185313,0.195441,0.204608,0.202724
-16.7101,0.229621,0.250091,0.2174,0.2296,0.262038,0.231305,0.217965,0.207747,0.208961,0.208412,0.216466,0.18654,0.204994,0.177513,0.218675,0.221347,0.206935,0.199831,0.209403,0.234836,0.25118,0.258308,0.199621,0.241703,0.226133,0.196725,0.201921,0.211686,0.212243
-16.2101,0.243022,0.262956,0.229351,0.245764,0.264885,0.242518,0.224268,0.223082,0.223709,0.2168,0.228434,0.194986,0.215645,0.19107,0.235739,0.237581,0.214767,0.206763,0.219951,0.24779,0.259746,0.263347,0.209348,0.255415,0.239275,0.208782,0.209988,0.219898,0.221421
-15.7101,0.258513,0.27239,0.24148,0.262001,0.26805,0.254421,0.229976,0.236775,0.236694,0.22362,0.240435,0.202504,0.224621,0.205407,0.251468,0.25643,0.222714,0.212815,0.228808,0.260665,0.267252,0.267456,0.217602,0.268314,0.253342,0.220289,0.218901,0.229615,0.228382
-15.2101,0.27346,0.279905,0.25096,0.275273,0.272021,0.264927,0.233914,0.246476,0.246427,0.226813,0.250871,0.207848,0.230859,0.216985,0.264922,0.274726,0.229837,0.217883,0.234261,0.271171,0.271673,0.270412,0.224008,0.278642,0.266041,0.229893,0.227001,0.239226,0.232408
-14.7101,0.285486,0.28656,0.256877,0.283792,0.275688,0.272308,0.235294,0.251264,0.252106,0.226061,0.25903,0.211069,0.234605,0.223885,0.27669,0.288756,0.235387,0.221953,0.236197,0.277783,0.272716,0.271805,0.228637,0.284901,0.27513,0.237392,0.233023,0.246694,0.234095
-14.2101,0.292834,0.290792,0.259311,0.287599,0.276771,0.275271,0.234072,0.251291,0.252963,0.222218,0.264237,0.211701,0.23511,0.226804,0.286483,0.296286,0.239128,0.224579,0.23567,0.27964,0.27091,0.27057,0.231628,0.28595,0.279316,0.242183,0.235811,0.249486,0.23327
