Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
7.19588,0.243606,0.257198,0.285832,0.229575,0.22883,0.251301,0.253719,0.252222,0.233228,0.235964,0.251618,0.211791,0.229339,0.209507,0.198407,0.213253,0.226682,0.224494,0.240951,0.230481,0.240646,0.216065,0.220167,0.205646,0.217726,0.199869,0.234582,0.254773,0.259653,0.210514,0.231265,0.2262,0.215763,0.228989
7.69588,0.246582,0.261036,0.296777,0.235994,0.239907,0.254588,0.261507,0.260713,0.256483,0.250202,0.260192,0.221617,0.231849,0.223411,0.212686,0.228978,0.236937,0.233368,0.248418,0.249817,0.257644,0.230015,0.226589,0.216126,0.226025,0.216548,0.245761,0.262725,0.274038,0.215319,0.236502,0.237192,0.233196,0.239554
8.19588,0.256217,0.26548,0.302034,0.242974,0.244987,0.252425,0.265506,0.263048,0.271415,0.259163,0.263841,0.231687,0.233322,0.234515,0.225505,0.237438,0.241972,0.240848,0.25476,0.264655,0.270401,0.244152,0.230328,0.221146,0.23151,0.232407,0.250171,0.265129,0.284692,0.221478,0.244161,0.245351,0.245346,0.245656
8.69588,0.265059,0.264757,0.29798,0.248704,0.241731,0.245361,0.260912,0.253225,0.273017,0.257818,0.263183,0.23423,0.228318,0.239241,0.231504,0.236191,0.23855,0.244438,0.255375,0.267305,0.271865,0.246558,0.228238,0.219489,0.228533,0.241076,0.247573,0.261194,0.286326,0.221568,0.242742,0.243874,0.245207,0.241188
9.19588,0.26306,0.25347,0.282436,0.250187,0.228982,0.231211,0.248157,0.233332,0.259512,0.243833,0.256498,0.223572,0.214137,0.233059,0.227138,0.226324,0.22561,0.23784,0.245331,0.257444,0.260982,0.231912,0.216746,0.210382,0.218135,0.238067,0.236331,0.250452,0.276265,0.211294,0.226708,0.22892,0.233789,0.228164
9.69588,0.246964,0.231661,0.258236,0.242911,0.208525,0.210171,0.231776,0.209338,0.236612,0.220012,0.24055,0.202014,0.190763,0.216462,0.213269,0.210489,0.206702,0.219053,0.223894,0.237299,0.244029,0.206123,0.197885,0.197097,0.201055,0.224762,0.215909,0.233808,0.25733,0.193103,0.20141,0.201478,0.21474,0.211142
10.1959,0.223058,0.207156,0.233935,0.229071,0.186581,0.188944,0.21641,0.186299,0.212749,0.19749,0.218694,0.17978,0.166587,0.196128,0.194536,0.194333,0.187271,0.192663,0.194484,0.216839,0.2264,0.183126,0.178858,0.1806,0.181413,0.206535,0.193067,0.214168,0.236407,0.173688,0.178325,0.171563,0.195632,0.19473
10.6959,0.205367,0.193109,0.21851,0.216639,0.173158,0.175832,0.207397,0.173127,0.196479,0.185921,0.198077,0.166406,0.152826,0.178133,0.180733,0.182754,0.173184,0.167572,0.168627,0.205271,0.215556,0.172098,0.168863,0.168193,0.166263,0.190863,0.176981,0.197748,0.221555,0.161829,0.168904,0.153769,0.184113,0.185456
11.1959,0.201901,0.197958,0.216871,0.212645,0.176275,0.180677,0.207832,0.174546,0.194682,0.190271,0.187705,0.168348,0.157559,0.17221,0.179803,0.182121,0.169998,0.15596,0.158333,0.204676,0.214555,0.175597,0.174097,0.168191,0.161139,0.185633,0.177664,0.195398,0.219494,0.163621,0.176544,0.156784,0.184989,0.185355
11.6959,0.214415,0.219784,0.227104,0.222355,0.196202,0.201685,0.218484,0.191059,0.206919,0.208638,0.196714,0.184667,0.179209,0.184347,0.194308,0.196773,0.180315,0.16261,0.167864,0.215328,0.22344,0.191135,0.191805,0.182985,0.169665,0.195596,0.197481,0.211,0.229241,0.180562,0.19713,0.179581,0.199504,0.195201
12.1959,0.238923,0.248167,0.24578,0.242395,0.225011,0.227951,0.235899,0.217493,0.228254,0.233178,0.222717,0.209481,0.209202,0.212882,0.221198,0.22393,0.202164,0.1853,0.192259,0.231646,0.238807,0.214267,0.216392,0.211975,0.19025,0.218138,0.227799,0.238485,0.246431,0.208596,0.222771,0.211242,0.224395,0.212478
12.6959,0.26671,0.272604,0.26609,0.264534,0.252312,0.250671,0.257088,0.246544,0.252,0.256741,0.255826,0.235081,0.238339,0.24782,0.252833,0.254462,0.230008,0.215162,0.221559,0.249162,0.25521,0.23865,0.243054,0.24666,0.214332,0.244514,0.25637,0.266153,0.264858,0.238125,0.246738,0.239402,0.250459,0.230942
13.1959,0.292485,0.288354,0.283089,0.282842,0.275311,0.268083,0.280353,0.271914,0.27325,0.276367,0.287616,0.255609,0.26072,0.279732,0.28155,0.281216,0.257323,0.241522,0.247999,0.265902,0.268022,0.260157,0.26822,0.279198,0.234243,0.266789,0.275152,0.286016,0.279449,0.263003,0.2669,0.259816,0.270323,0.245478
13.6959,0.312693,0.298164,0.296177,0.297175,0.294834,0.282392,0.303506,0.290567,0.291486,0.291785,0.312589,0.270136,0.274655,0.301155,0.301896,0.300537,0.278399,0.259472,0.268836,0.279597,0.27587,0.275654,0.289126,0.30472,0.246607,0.282327,0.282767,0.297168,0.28869,0.280157,0.283868,0.273318,0.282522,0.25481
14.1959,0.326889,0.307044,0.30708,0.310718,0.311024,0.295962,0.323906,0.300898,0.309318,0.302946,0.329851,0.280646,0.281654,0.311049,0.311379,0.311208,0.291764,0.269057,0.282296,0.288858,0.281587,0.285465,0.303859,0.320977,0.252936,0.29202,0.284521,0.30247,0.294146,0.289717,0.297305,0.282657,0.288873,0.261695
14.6959,0.336144,0.316444,0.318135,0.32582,0.322801,0.308396,0.337381,0.304171,0.327569,0.309325,0.340317,0.28938,0.2852,0.312984,0.313047,0.31602,0.299221,0.27369,0.289068,0.294687,0.287993,0.293549,0.312529,0.327642,0.257492,0.296381,0.287675,0.305417,0.298471,0.295652,0.305795,0.290058,0.292916,0.266917
15.1959,0.341947,0.3264,0.328975,0.341346,0.330562,0.317523,0.342716,0.305913,0.344026,0.310731,0.343906,0.296526,0.289292,0.311591,0.312323,0.319632,0.303828,0.276646,0.292577,0.301725,0.295267,0.303387,0.317969,0.326755,0.263566,0.296175,0.296554,0.31042,0.303869,0.297738,0.30983,0.296221,0.297079,0.270642
15.6959,0.345266,0.334246,0.337119,0.353481,0.336527,0.322182,0.340597,0.311005,0.354888,0.308362,0.340971,0.303995,0.294558,0.311675,0.313112,0.324433,0.307547,0.278039,0.293107,0.30967,0.303264,0.313698,0.322782,0.323238,0.271509,0.291897,0.310156,0.318195,0.307846,0.298006,0.311392,0.301683,0.302545,0.272981
16.1959,0.34755,0.339198,0.339871,0.35799,0.342392,0.322804,0.335357,0.321093,0.358598,0.305119,0.334228,0.31158,0.29819,0.312952,0.315425,0.329884,0.309705,0.276507,0.291815,0.316792,0.30963,0.321515,0.328067,0.32125,0.279468,0.287534,0.323192,0.326285,0.308473,0.297206,0.312399,0.30557,0.309628,0.273831
16.6959,0.350265,0.34277,0.337645,0.353404,0.347985,0.323057,0.334603,0.330028,0.356653,0.302173,0.327194,0.318667,0.297429,0.312948,0.314234,0.332689,0.308382,0.271917,0.288036,0.318505,0.311532,0.324258,0.33284,0.320424,0.282365,0.284176,0.330059,0.33299,0.305342,0.294132,0.312765,0.305138,0.31693,0.272786
17.1959,0.350878,0.344281,0.331127,0.344623,0.348829,0.325258,0.340168,0.330396,0.351146,0.297591,0.322014,0.32052,0.288778,0.307907,0.305548,0.330271,0.300952,0.266024,0.282889,0.311693,0.306618,0.321762,0.334394,0.317956,0.276573,0.281856,0.328139,0.334557,0.298525,0.289573,0.309437,0.297764,0.320039,0.269821
17.6959,0.348717,0.344379,0.323349,0.338674,0.344442,0.329555,0.349577,0.322893,0.346175,0.291958,0.319769,0.316799,0.273837,0.299505,0.291853,0.324292,0.290044,0.260011,0.277414,0.300374,0.296598,0.318622,0.333261,0.313959,0.265022,0.279307,0.320824,0.331916,0.29212,0.283022,0.302493,0.28611,0.317989,0.265473
18.1959,0.345682,0.34462,0.317539,0.337158,0.339263,0.334927,0.359431,0.312947,0.343293,0.287131,0.319774,0.311602,0.260343,0.292299,0.278858,0.318379,0.280845,0.256027,0.27318,0.289953,0.287014,0.316744,0.331736,0.309781,0.253576,0.276756,0.31344,0.328864,0.28769,0.276925,0.295788,0.274845,0.313518,0.261194
18.6959,0.340296,0.343215,0.312466,0.340345,0.333147,0.339289,0.36646,0.3034,0.341513,0.282068,0.320165,0.304174,0.2469,0.286952,0.267927,0.31312,0.27317,0.253025,0.26919,0.281123,0.27785,0.315605,0.329625,0.306773,0.243678,0.274722,0.307042,0.324393,0.284058,0.271784,0.288711,0.264921,0.307031,0.258247
19.1959,0.335919,0.342153,0.308801,0.349613,0.328261,0.344142,0.372887,0.295436,0.343587,0.280259,0.322254,0.300374,0.23277,0.285375,0.25967,0.309522,0.268986,0.249238,0.264221,0.273557,0.270802,0.316387,0.328942,0.308241,0.235738,0.271916,0.303326,0.320778,0.282222,0.267481,0.281545,0.258765,0.301875,0.256235
