Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-13.8041,0.31433,0.243957,0.235931,0.243895,0.276367,0.218714,0.243534,0.238409,0.297686,0.228488,0.26218,0.271532,0.282815,0.20334,0.203352,0.209175,0.223359,0.201132,0.215432,0.259829,0.261091,0.198378,0.234957,0.280407,0.240861,0.226091,0.220233,0.234555,0.208124,0.207197,0.227208,0.237566,0.252683,0.261251
-13.3041,0.323958,0.257978,0.249089,0.252451,0.285709,0.227189,0.248511,0.247598,0.31399,0.243891,0.271719,0.27981,0.292285,0.214303,0.210597,0.223533,0.235147,0.214758,0.230963,0.270487,0.275606,0.204764,0.238626,0.285068,0.252854,0.239326,0.235476,0.243824,0.217914,0.210426,0.232629,0.245624,0.263554,0.266102
-12.8041,0.334302,0.27099,0.266596,0.256591,0.293954,0.235334,0.253567,0.255203,0.327175,0.260287,0.278488,0.28534,0.30028,0.223105,0.21433,0.236716,0.248263,0.227378,0.246399,0.28113,0.28982,0.210835,0.243124,0.289012,0.265064,0.252048,0.249729,0.253075,0.227865,0.214965,0.238095,0.253963,0.274316,0.271007
-12.3041,0.345467,0.282794,0.287767,0.258787,0.298756,0.241476,0.258134,0.26119,0.335922,0.274546,0.284326,0.288716,0.307141,0.229075,0.216486,0.248252,0.260212,0.23971,0.262401,0.291604,0.302206,0.216251,0.246787,0.291652,0.276703,0.264814,0.262108,0.263731,0.23884,0.22169,0.243724,0.262501,0.284886,0.276566
-11.8041,0.3573,0.293961,0.308903,0.261653,0.300439,0.244983,0.262944,0.266458,0.339894,0.285666,0.291166,0.291604,0.313408,0.233406,0.219638,0.258632,0.267953,0.252766,0.278975,0.301394,0.31196,0.221084,0.249246,0.292488,0.28761,0.277414,0.273239,0.276672,0.250731,0.229673,0.249438,0.270477,0.295075,0.283513
-11.3041,0.368769,0.304642,0.324977,0.267039,0.301301,0.248206,0.269677,0.271807,0.341336,0.294782,0.299779,0.295776,0.319291,0.238965,0.225879,0.268358,0.270226,0.267217,0.296654,0.309568,0.319976,0.226512,0.252349,0.292519,0.298725,0.288848,0.284297,0.291528,0.262647,0.237365,0.255954,0.277272,0.304502,0.292608
-10.8041,0.378637,0.312937,0.332599,0.275532,0.303331,0.254123,0.279417,0.27692,0.344466,0.304048,0.309276,0.301174,0.324579,0.247525,0.235324,0.276801,0.26841,0.28231,0.314474,0.315181,0.327458,0.233433,0.257294,0.29315,0.310719,0.298053,0.29587,0.307299,0.273067,0.244292,0.264116,0.28227,0.312434,0.303984
-10.3041,0.38567,0.316238,0.333033,0.286459,0.307272,0.263012,0.291785,0.280918,0.352361,0.313854,0.319536,0.306302,0.32856,0.257857,0.246607,0.283634,0.266023,0.29633,0.330378,0.318275,0.334846,0.242205,0.263561,0.294769,0.322588,0.304674,0.307824,0.322918,0.280932,0.252022,0.273906,0.285376,0.318135,0.316607
-9.80412,0.388016,0.312209,0.331064,0.298436,0.312599,0.272511,0.305695,0.282372,0.36451,0.320818,0.331749,0.309605,0.331355,0.266863,0.258241,0.289078,0.266288,0.307947,0.342993,0.319982,0.341544,0.251526,0.270369,0.296491,0.332053,0.308457,0.318911,0.337156,0.286292,0.261699,0.28424,0.287047,0.320923,0.328361
-9.30412,0.383102,0.299146,0.331142,0.308953,0.317664,0.279795,0.319125,0.279435,0.376037,0.32024,0.345375,0.308652,0.331871,0.27142,0.268317,0.292896,0.269871,0.315901,0.349778,0.320363,0.344956,0.258362,0.277179,0.296486,0.335344,0.307321,0.326161,0.347794,0.28915,0.271137,0.292957,0.286818,0.319592,0.336408
