Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-10.0525,0.373109,0.279198,0.316642,0.298448,0.324272,0.259216,0.29821,0.293999,0.299967,0.30072,0.298732,0.293409,0.267199,0.267081,0.284623,0.27706,0.261854,0.277166,0.312317,0.229755,0.290263,0.312751,0.283615,0.260257,0.289449,0.310542,0.269757,0.253101,0.296796,0.272243,0.26831,0.294991
-9.55246,0.385701,0.281379,0.321428,0.299252,0.326908,0.263207,0.302525,0.298878,0.306224,0.311675,0.299012,0.298296,0.269298,0.269984,0.294873,0.287981,0.277467,0.295133,0.322038,0.239821,0.290739,0.313244,0.293173,0.269295,0.292248,0.316335,0.279174,0.261665,0.298701,0.277729,0.27287,0.30285
-9.05246,0.396339,0.288155,0.326834,0.300505,0.330704,0.270349,0.30425,0.301608,0.315757,0.32337,0.299114,0.301857,0.270842,0.272396,0.303536,0.296262,0.291511,0.310307,0.328869,0.250118,0.29204,0.313127,0.301358,0.280378,0.296186,0.324165,0.288577,0.268555,0.299383,0.283271,0.276528,0.309325
-8.55246,0.40054,0.296459,0.330716,0.301401,0.334768,0.276072,0.301729,0.29938,0.325672,0.333228,0.297815,0.302696,0.270524,0.273394,0.308385,0.300515,0.301606,0.320498,0.330639,0.256556,0.294507,0.312682,0.305057,0.289922,0.298742,0.330082,0.296229,0.272393,0.29926,0.287736,0.276102,0.313204
-8.05246,0.393277,0.299974,0.328891,0.298893,0.334399,0.273975,0.292582,0.288938,0.33153,0.33607,0.291017,0.296785,0.266253,0.27067,0.305924,0.298831,0.30408,0.322049,0.323608,0.254846,0.294392,0.309652,0.299928,0.291758,0.295242,0.32825,0.299004,0.270314,0.296818,0.287525,0.267694,0.311493
-7.55246,0.37322,0.292283,0.316822,0.288499,0.322713,0.259999,0.274101,0.269171,0.328912,0.325184,0.273589,0.279677,0.255957,0.261422,0.292778,0.288659,0.295787,0.312292,0.304454,0.242606,0.286709,0.300153,0.283848,0.2812,0.281333,0.313726,0.294232,0.259739,0.287681,0.277266,0.24928,0.299237
-7.05246,0.345398,0.271461,0.293439,0.266947,0.296312,0.237193,0.247704,0.24417,0.31534,0.298455,0.245577,0.250759,0.239657,0.245331,0.269386,0.268693,0.276425,0.291395,0.273199,0.22249,0.269165,0.281071,0.258512,0.258887,0.256771,0.286271,0.281562,0.240274,0.268522,0.255079,0.224287,0.273902
-6.55246,0.316762,0.242238,0.262615,0.236036,0.258492,0.213011,0.219127,0.220539,0.291466,0.262246,0.21276,0.215314,0.219718,0.224856,0.241412,0.241479,0.249249,0.263528,0.234778,0.200046,0.244895,0.253529,0.228743,0.230495,0.227509,0.251357,0.263454,0.215162,0.240217,0.225403,0.199178,0.238777
-6.05246,0.293595,0.213568,0.232298,0.204245,0.220177,0.196902,0.196724,0.205186,0.262027,0.22908,0.184793,0.183032,0.200437,0.204986,0.216965,0.213477,0.221187,0.235912,0.199128,0.18163,0.221216,0.223883,0.201334,0.204618,0.202821,0.217723,0.244315,0.190988,0.208784,0.198338,0.180945,0.203134
-5.55246,0.278822,0.195827,0.211596,0.184345,0.195661,0.195582,0.187604,0.201214,0.236614,0.211747,0.171336,0.164259,0.186428,0.19071,0.203964,0.193035,0.200528,0.2149,0.177664,0.173058,0.204848,0.200891,0.181651,0.189128,0.189829,0.193912,0.22927,0.174026,0.183438,0.184964,0.174605,0.178738
