Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-12.5362,0.26209,0.258403,0.18739,0.328538,0.323346,0.343414,0.281214,0.264546,0.242412,0.29909,0.277168,0.631617,0.297181
-12.0362,0.238027,0.232459,0.177855,0.300876,0.296737,0.300513,0.257296,0.232734,0.230458,0.272095,0.27002,0.600865,0.263048
-11.5362,0.222642,0.20869,0.173896,0.277207,0.278826,0.279583,0.232686,0.213674,0.214957,0.257146,0.255954,0.581195,0.237394
-11.0362,0.213591,0.194653,0.174046,0.259342,0.267869,0.275303,0.213852,0.200575,0.197918,0.248196,0.245342,0.566034,0.226398
-10.5362,0.209832,0.189749,0.173872,0.247429,0.260255,0.277888,0.203972,0.188806,0.183276,0.240253,0.241673,0.547758,0.225972
-10.0362,0.209721,0.187966,0.170428,0.240069,0.252099,0.279686,0.200804,0.17698,0.172848,0.230945,0.23721,0.52264,0.230679
-9.53622,0.211001,0.185803,0.165812,0.237102,0.243234,0.278705,0.199411,0.166741,0.168284,0.220749,0.229517,0.49402,0.237114
-9.03622,0.212219,0.183626,0.163958,0.238042,0.235412,0.276324,0.19594,0.161873,0.169765,0.21297,0.221504,0.469765,0.244622
-8.53622,0.213781,0.183203,0.167203,0.240912,0.231752,0.276643,0.190444,0.163783,0.175999,0.211016,0.216256,0.460133,0.253344
-8.03622,0.218374,0.186053,0.175077,0.244032,0.234569,0.280555,0.187591,0.171621,0.185336,0.216065,0.214754,0.468479,0.262343
-7.53622,0.22873,0.193067,0.186016,0.246946,0.244231,0.286153,0.191805,0.184395,0.19836,0.226928,0.216049,0.492325,0.271912
-7.03622,0.245554,0.205129,0.19852,0.251182,0.259108,0.295002,0.202176,0.201138,0.216052,0.241426,0.220206,0.524504,0.282705
-6.53622,0.266727,0.223423,0.214049,0.26054,0.276186,0.31216,0.21608,0.222417,0.238749,0.257797,0.231191,0.554664,0.298916
-6.03622,0.28835,0.248879,0.234496,0.279809,0.293914,0.343315,0.232539,0.248064,0.266152,0.276465,0.253438,0.581525,0.325221
-5.53622,0.307277,0.279848,0.259503,0.311159,0.312105,0.386671,0.254361,0.277073,0.296482,0.2979,0.286303,0.610352,0.358479
-5.03622,0.322102,0.31146,0.286876,0.345847,0.330229,0.431222,0.285451,0.307031,0.325593,0.321158,0.323891,0.645476,0.394173
-4.53622,0.332357,0.341751,0.310946,0.372263,0.346542,0.467892,0.325324,0.333866,0.352714,0.344025,0.358862,0.691068,0.430537
-4.03622,0.337308,0.37159,0.328251,0.379786,0.357693,0.492963,0.367301,0.352037,0.376767,0.362399,0.388033,0.743901,0.467937
-3.53622,0.339995,0.40539,0.341262,0.368438,0.359949,0.51157,0.405784,0.358597,0.394125,0.372963,0.411026,0.785773,0.50666
-3.03622,0.34735,0.439448,0.355217,0.356803,0.35392,0.528968,0.438799,0.354736,0.404409,0.375842,0.427332,0.803753,0.540592
-2.53622,0.363502,0.457828,0.370911,0.361167,0.343606,0.543534,0.458261,0.344433,0.409711,0.372298,0.435197,0.788003,0.555389
-2.03622,0.376838,0.455142,0.37975,0.377156,0.334305,0.551744,0.452728,0.333286,0.416576,0.363043,0.432104,0.748367,0.544398
-1.53622,0.372916,0.434788,0.378079,0.385939,0.328681,0.54633,0.42252,0.323929,0.417218,0.350574,0.417721,0.718857,0.513633
