Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered,,Mean FA 4,MeanFA 0,Average,Rel Beta (4 expos),Exp Betas,Exp Corr Beta (4 exposures)
-10.9606,0.508893,0.305674,0.285616,0.305414,0.28651,0.364563,0.352607,0.375413,0.281082,0.283016,0.29235,0.305973,0.315688,0.610123,0.360262,,0.306,0.4127,0.3489,-0.2902938848,-0.051,-0.101
-10.4606,0.534458,0.326632,0.303789,0.334007,0.295268,0.371694,0.368583,0.403848,0.306193,0.292391,0.310257,0.334769,0.325843,0.667229,0.377653,,0.323,0.4406,0.3702,-0.2976867545,-0.056,-0.110
-9.96065,0.562685,0.347251,0.322194,0.363438,0.306601,0.381106,0.381413,0.440468,0.330373,0.304639,0.327889,0.36257,0.342244,0.722453,0.391658,,0.341,0.4703,0.3925,-0.3066427123,-0.061,-0.120
-9.46065,0.585698,0.361459,0.337756,0.389298,0.313574,0.391388,0.38469,0.477379,0.347762,0.319734,0.340742,0.383842,0.358632,0.764016,0.401449,,0.354,0.4952,0.4105,-0.3185314354,-0.066,-0.131
-8.96065,0.601682,0.368821,0.350268,0.410207,0.313042,0.39737,0.377496,0.510503,0.358202,0.33644,0.34799,0.398142,0.370847,0.791177,0.411296,,0.362,0.5139,0.4229,-0.332777139,-0.071,-0.141
-8.46065,0.610821,0.372844,0.360292,0.422313,0.307258,0.396005,0.365078,0.535725,0.364755,0.352183,0.350863,0.407585,0.377829,0.804723,0.425188,,0.366,0.5270,0.4302,-0.3483732195,-0.076,-0.150
-7.96065,0.616472,0.377982,0.36909,0.423354,0.302196,0.390378,0.355344,0.550371,0.370415,0.364912,0.352778,0.413956,0.383019,0.813906,0.444643,,0.367,0.5371,0.4353,-0.3628435363,-0.080,-0.158
-7.46065,0.622927,0.383316,0.376946,0.414015,0.302536,0.386804,0.353999,0.55428,0.376436,0.373401,0.355759,0.418178,0.389429,0.825105,0.466096,,0.369,0.5460,0.4399,-0.3739659372,-0.083,-0.165
-6.96065,0.633135,0.384016,0.382992,0.401641,0.30744,0.388328,0.361107,0.549622,0.380932,0.376715,0.359401,0.41892,0.396081,0.839095,0.483444,,0.371,0.5534,0.4442,-0.3807918408,-0.086,-0.169
-6.46065,0.645395,0.376188,0.386036,0.394818,0.314464,0.39077,0.372874,0.54052,0.383535,0.375945,0.363018,0.415654,0.400215,0.855068,0.493096,,0.373,0.5583,0.4472,-0.3826688838,-0.087,-0.171
-5.96065,0.654441,0.361082,0.387505,0.396258,0.319922,0.388489,0.384947,0.532367,0.384174,0.374589,0.3654,0.408097,0.399583,0.864302,0.49274,,0.374,0.5586,0.4476,-0.3795247461,-0.086,-0.170
-5.46065,0.652878,0.343397,0.389726,0.400685,0.320863,0.380391,0.392118,0.526841,0.382398,0.372856,0.365455,0.396383,0.394305,0.859931,0.480986,,0.372,0.5519,0.4439,-0.3724124104,-0.084,-0.165
-4.96065,0.635559,0.327173,0.3933,0.397932,0.316954,0.367821,0.390936,0.523611,0.378896,0.368141,0.362591,0.381222,0.386785,0.837188,0.459315,,0.367,0.5373,0.4352,-0.3638307688,-0.080,-0.158
-4.46065,0.605566,0.313387,0.39774,0.383699,0.307982,0.352698,0.382117,0.520259,0.372413,0.358469,0.355899,0.36402,0.379676,0.795948,0.431057,,0.358,0.5161,0.4214,-0.3574993335,-0.076,-0.151
-3.96065,0.574059,0.300176,0.3963,0.360831,0.296199,0.336515,0.370623,0.515924,0.362155,0.344537,0.345362,0.346721,0.374507,0.745878,0.403203,,0.346,0.4934,0.4049,-0.3571393064,-0.073,-0.145
-3.46065,0.555467,0.289288,0.38815,0.339922,0.28646,0.32014,0.361987,0.513687,0.349936,0.330337,0.334491,0.33199,0.372307,0.703877,0.383503,,0.333,0.4768,0.3908,-0.3634880571,-0.072,-0.142
-2.96065,0.560221,0.285128,0.382409,0.332082,0.283709,0.307867,0.358996,0.517579,0.340449,0.319429,0.32763,0.323989,0.374346,0.687372,0.379443,,0.326,0.4738,0.3854,-0.3724054666,-0.073,-0.144
-2.46065,0.585961,0.29141,0.376272,0.341682,0.291503,0.303304,0.361434,0.529195,0.334468,0.314551,0.325905,0.325259,0.381963,0.697444,0.389874,,0.327,0.4849,0.3900,-0.37888551,-0.075,-0.148
-1.96065,0.623036,0.311406,0.37726,0.364164,0.310815,0.307244,0.367488,0.543107,0.331,0.317488,0.327853,0.336609,0.397167,0.720877,0.407003,,0.335,0.5046,0.4028,-0.3778904546,-0.077,-0.152
-1.46065,0.657817,0.332842,0.377818,0.386436,0.334872,0.312645,0.373114,0.548678,0.326524,0.325909,0.32875,0.351655,0.414559,0.73266,0.419861,,0.344,0.5209,0.4149,-0.3715142828,-0.078,-0.154
