Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_10months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM
-9.69592,0.283947,0.290606,0.277259,0.307334,0.293448,0.30208,0.268288,0.285539,0.316253,0.285533,0.308526,0.279394,0.276203,0.289491,0.283272,0.283819,0.254332,0.258115,0.29798,0.282261,0.29011,0.291096,0.265938,0.284232,0.317286,0.283463,0.278924,0.301367,0.250616,0.263825,0.284336,0.273945,0.288122,0.291814,0.260974,0.274823
-9.19592,0.302467,0.299766,0.286452,0.320664,0.301523,0.313309,0.274585,0.289826,0.323818,0.298333,0.326794,0.286016,0.284228,0.302347,0.289068,0.288174,0.265354,0.26659,0.29868,0.287163,0.301795,0.304419,0.282315,0.297853,0.323724,0.291786,0.287257,0.307581,0.26095,0.273771,0.292076,0.282392,0.298428,0.301823,0.269006,0.282333
-8.69592,0.316576,0.304661,0.296346,0.325901,0.304005,0.317651,0.280882,0.290569,0.325971,0.306452,0.337956,0.289153,0.28842,0.307761,0.28804,0.287047,0.275187,0.275595,0.298536,0.290971,0.30887,0.313849,0.299185,0.31305,0.32841,0.293821,0.292083,0.312897,0.269699,0.283573,0.29877,0.288997,0.306179,0.308619,0.276545,0.287828
-8.19592,0.323681,0.306453,0.306667,0.325862,0.301826,0.316318,0.286594,0.291066,0.325299,0.310205,0.344239,0.288114,0.290304,0.307124,0.283687,0.284328,0.282517,0.284958,0.298833,0.293987,0.313954,0.322591,0.310708,0.325413,0.32918,0.292931,0.294044,0.316794,0.278433,0.292622,0.304658,0.291333,0.311685,0.315632,0.282285,0.291816
-7.69592,0.3245,0.307703,0.316301,0.325454,0.295507,0.312227,0.291209,0.292523,0.323228,0.307856,0.346662,0.281982,0.290573,0.30159,0.279523,0.2824,0.286469,0.293722,0.299397,0.294512,0.318054,0.331189,0.314892,0.332132,0.323597,0.292972,0.293947,0.317725,0.286968,0.300347,0.310096,0.288826,0.313208,0.323671,0.285905,0.295719
-7.19592,0.322572,0.308552,0.323737,0.327325,0.285455,0.306535,0.29481,0.293909,0.319343,0.297514,0.347731,0.273196,0.288196,0.293313,0.275595,0.279398,0.286655,0.299967,0.29959,0.290105,0.32038,0.336068,0.31371,0.333643,0.313258,0.29395,0.29313,0.315276,0.294057,0.305759,0.314539,0.282521,0.309787,0.328673,0.288693,0.299295
-6.69592,0.321896,0.306366,0.326927,0.329105,0.275428,0.299583,0.297766,0.294679,0.311398,0.279919,0.348528,0.265059,0.283994,0.285195,0.270247,0.271052,0.2837,0.300979,0.299597,0.281953,0.319726,0.332895,0.309874,0.33206,0.302123,0.29175,0.292135,0.309291,0.297629,0.307753,0.31703,0.274284,0.30323,0.326301,0.29034,0.301466
-6.19592,0.322624,0.301235,0.323241,0.325544,0.269785,0.291948,0.299865,0.294942,0.300726,0.258693,0.344329,0.258521,0.279646,0.278917,0.262516,0.257141,0.279663,0.294928,0.298715,0.27483,0.315576,0.32143,0.303432,0.326957,0.291818,0.28362,0.291257,0.2996,0.29585,0.30714,0.316778,0.265356,0.29596,0.316686,0.288013,0.301266
-5.69592,0.321698,0.292544,0.310659,0.313158,0.268988,0.284081,0.299745,0.293764,0.290481,0.237776,0.33375,0.251311,0.275578,0.272943,0.254131,0.242328,0.275324,0.282904,0.295494,0.271068,0.307515,0.304582,0.293457,0.315534,0.280888,0.26982,0.289638,0.28665,0.287962,0.305153,0.313525,0.255552,0.28765,0.302872,0.281079,0.296856
-5.19592,0.316662,0.278352,0.290317,0.292847,0.269036,0.274519,0.29498,0.288369,0.280631,0.218559,0.315476,0.240288,0.270214,0.263656,0.247836,0.231231,0.270236,0.268722,0.289496,0.268977,0.296079,0.286313,0.27989,0.29788,0.267943,0.254656,0.282129,0.270987,0.273818,0.301244,0.307259,0.243806,0.276243,0.286213,0.272259,0.288166
