Arc_length vs Data,001_12months_DTI_antsBM,002_12months_DTI_antsBM,007_12months_DTI_antsBM,008_12months_DTI_antsBM,010_10months_DTI_antsBM,010_14months_DTI_antsBM,012_10months_DTI_antsBM,012_14months_DTI_antsBM,013_13months_DTI_antsBM,014_13months_DTI_antsBM,016_12months_DTI_antsBM,017_11months_DTI_antsBM,018_11months_DTI_antsBM,019_12months_DTI_antsBM,020_11months_DTI_antsBM,020_14months_DTI_antsBM,021_11months_DTI_antsBM,021_14months_DTI_antsBM,022_11months_DTI_antsBM,022_14months_DTI_antsBM,023_11months_DTI_antsBM,023_14months_DTI_antsBM,025_10months_DTI_antsBM,025_13months_DTI_antsBM,026_11months_DTI_antsBM,027_11months_DTI_antsBM,028_13months_DTI_antsBM,029_12months_DTI_antsBM,030_12months_DTI_antsBM,031_10months_DTI_antsBM,031_13months_DTI_antsBM,032_12months_DTI_antsBM,033_10months_DTI_antsBM,033_13months_DTI_antsBM,034_12months_DTI_antsBM,035_12months_DTI_antsBM,036_12months_DTI_antsBM
-16.4606,0.334794,0.349768,0.361125,0.289452,0.349139,0.360136,0.311598,0.326039,0.373783,0.318167,0.326045,0.29001,0.334998,0.330039,0.317326,0.319022,0.289844,0.280345,0.306764,0.293112,0.296903,0.323094,0.294243,0.315301,0.330927,0.328662,0.318637,0.285315,0.278777,0.303548,0.321447,0.317409,0.300828,0.334232,0.33976,0.289174,0.33168
-15.9606,0.341502,0.350359,0.35885,0.294419,0.359477,0.374498,0.319598,0.334949,0.385454,0.325142,0.337054,0.293746,0.341759,0.331922,0.328042,0.331898,0.297154,0.283079,0.296321,0.288833,0.305941,0.331875,0.299627,0.327411,0.331344,0.338363,0.332177,0.291112,0.282379,0.313091,0.329887,0.322199,0.312078,0.344873,0.345437,0.298696,0.341085
-15.4606,0.348746,0.351364,0.347955,0.305609,0.367041,0.386491,0.324022,0.340852,0.394216,0.33125,0.351352,0.299185,0.348535,0.336066,0.33786,0.340042,0.304955,0.288794,0.288116,0.282323,0.314338,0.338427,0.303286,0.336583,0.328144,0.345222,0.342579,0.297379,0.286507,0.319722,0.337918,0.32321,0.32266,0.353191,0.349477,0.307227,0.348462
-14.9606,0.358114,0.358654,0.336238,0.321502,0.377517,0.398423,0.32824,0.345799,0.402643,0.338498,0.368398,0.311261,0.357909,0.34606,0.3492,0.34593,0.314053,0.298944,0.292304,0.284501,0.324227,0.345121,0.30894,0.344815,0.327634,0.351826,0.352201,0.306735,0.291593,0.325679,0.346431,0.323837,0.332268,0.360037,0.355662,0.316131,0.357255
-14.4606,0.367174,0.371989,0.331055,0.336967,0.39077,0.409018,0.334455,0.350317,0.411559,0.344643,0.383483,0.329802,0.368449,0.359952,0.362259,0.352099,0.322449,0.311673,0.30841,0.297278,0.334488,0.35189,0.317057,0.352601,0.331702,0.359534,0.361482,0.31791,0.294828,0.333457,0.353693,0.327438,0.339438,0.365532,0.363203,0.325066,0.368061
-13.9606,0.372914,0.385971,0.33664,0.348289,0.402979,0.415786,0.342672,0.355042,0.420821,0.349993,0.391472,0.350959,0.377831,0.373551,0.373391,0.358944,0.329236,0.324227,0.329774,0.316308,0.341666,0.358473,0.324716,0.35884,0.339061,0.365985,0.369439,0.327507,0.295506,0.344206,0.357527,0.334758,0.343506,0.368531,0.369752,0.331903,0.378956
-13.4606,0.375569,0.39379,0.349504,0.354591,0.410182,0.418348,0.351553,0.360553,0.428057,0.355967,0.392305,0.370098,0.384992,0.382673,0.379231,0.364516,0.33427,0.33331,0.348951,0.333453,0.344579,0.365127,0.328883,0.364478,0.348759,0.369843,0.374448,0.333813,0.29515,0.355277,0.357292,0.344607,0.345198,0.367992,0.373365,0.335486,0.386972
-12.9606,0.374571,0.391686,0.361297,0.355501,0.409363,0.416133,0.357589,0.365376,0.429669,0.360582,0.387537,0.382373,0.390384,0.384739,0.377689,0.367653,0.335738,0.336467,0.359526,0.342617,0.344734,0.370421,0.327783,0.36935,0.356452,0.372722,0.373491,0.336529,0.296739,0.360582,0.353131,0.353254,0.344788,0.36413,0.37377,0.335761,0.390387
-12.4606,0.371103,0.38305,0.367646,0.352078,0.404397,0.412603,0.359458,0.369536,0.425325,0.364365,0.380775,0.386562,0.393575,0.381686,0.371081,0.368404,0.333884,0.33388,0.361124,0.345559,0.345441,0.37372,0.323428,0.373564,0.359047,0.376232,0.366889,0.337087,0.302547,0.359219,0.34656,0.357302,0.343994,0.359504,0.372404,0.333244,0.391554
-11.9606,0.36778,0.375041,0.369826,0.346597,0.400324,0.41107,0.358681,0.373051,0.417468,0.36707,0.376304,0.384626,0.394321,0.376602,0.365183,0.367749,0.331685,0.329302,0.356514,0.345374,0.350679,0.375467,0.320407,0.376966,0.357445,0.380187,0.359596,0.337502,0.311671,0.354281,0.339427,0.35659,0.344796,0.357149,0.371743,0.329911,0.394611
-11.4606,0.367465,0.374325,0.373384,0.342515,0.400221,0.413204,0.359534,0.376775,0.410572,0.370458,0.375701,0.379451,0.392439,0.374329,0.364329,0.368207,0.332636,0.328647,0.352264,0.345596,0.361569,0.377688,0.322397,0.379239,0.354715,0.383738,0.357097,0.340013,0.323664,0.351199,0.336406,0.354941,0.348892,0.359777,0.374295,0.329116,0.402449
-10.9606,0.373289,0.382793,0.381973,0.34343,0.405396,0.420293,0.366929,0.382877,0.409904,0.375603,0.379695,0.375595,0.390053,0.377806,0.368992,0.370626,0.340279,0.334831,0.354928,0.349327,0.375413,0.382759,0.329956,0.381896,0.355891,0.386185,0.363193,0.346526,0.338396,0.354732,0.341761,0.356932,0.356895,0.367549,0.380531,0.333502,0.414055
