Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered
-0.728009,0.490487,0.229196,0.290782,0.273683,0.248109,0.255781,0.279436,0.337495,0.520982
-0.228009,0.500252,0.232065,0.300388,0.291574,0.245172,0.267866,0.278396,0.343284,0.528997
0.271991,0.515711,0.237936,0.30946,0.313154,0.244343,0.297793,0.273443,0.357883,0.543859
0.771991,0.5309,0.245927,0.312345,0.325864,0.248473,0.331022,0.270775,0.373693,0.559274
1.27199,0.539876,0.253667,0.311972,0.328144,0.256327,0.354317,0.273416,0.384118,0.570606
1.77199,0.549507,0.264272,0.31063,0.324968,0.26881,0.37662,0.280701,0.394539,0.583085
2.27199,0.559413,0.276041,0.308845,0.312359,0.284083,0.387436,0.293333,0.402176,0.592904
2.77199,0.569866,0.286117,0.30777,0.294242,0.297814,0.379555,0.306561,0.407858,0.597146
3.27199,0.576947,0.292478,0.305557,0.280628,0.306964,0.357511,0.315006,0.413141,0.596684
3.77199,0.574018,0.293413,0.300049,0.279187,0.310744,0.331458,0.315889,0.416686,0.592547
4.27199,0.558893,0.290156,0.290617,0.289433,0.307948,0.309391,0.310414,0.41424,0.584045
4.77199,0.53681,0.285177,0.279353,0.303487,0.297409,0.29567,0.302751,0.400351,0.569932
5.27199,0.515491,0.281116,0.268981,0.312975,0.280596,0.288712,0.296446,0.373343,0.548448
5.77199,0.496404,0.278467,0.260178,0.314229,0.260959,0.283683,0.294044,0.339676,0.519296
6.27199,0.477135,0.275154,0.251552,0.308199,0.243969,0.277687,0.296568,0.307029,0.483859
6.77199,0.458655,0.269816,0.240812,0.296927,0.234045,0.270538,0.304073,0.281753,0.44625
7.27199,0.444497,0.262787,0.227391,0.282772,0.232742,0.263786,0.311995,0.266978,0.414366
7.77199,0.438333,0.255676,0.213727,0.268278,0.236975,0.258129,0.313538,0.263126,0.394509
8.27199,0.442277,0.250601,0.203738,0.256718,0.241721,0.253926,0.304308,0.26957,0.389185
8.77199,0.457509,0.248132,0.201425,0.249379,0.243352,0.251958,0.285339,0.281228,0.396864
9.27199,0.485568,0.247929,0.207933,0.24409,0.241672,0.252649,0.26326,0.289969,0.408481
9.77199,0.515034,0.247748,0.221552,0.23789,0.239987,0.255545,0.24448,0.290399,0.414039
10.272,0.527781,0.245108,0.23637,0.22894,0.239792,0.259023,0.231298,0.283847,0.407102
10.772,0.515844,0.240639,0.245176,0.219319,0.238949,0.261692,0.222215,0.275976,0.389516
11.272,0.481862,0.235444,0.244837,0.212606,0.234119,0.263601,0.214379,0.270023,0.370228
11.772,0.439944,0.231348,0.23502,0.21016,0.224564,0.265372,0.207506,0.266334,0.356988
12.272,0.405537,0.228695,0.218969,0.210097,0.21072,0.266538,0.204621,0.265517,0.35186
12.772,0.385515,0.226276,0.202616,0.210458,0.194483,0.266261,0.209792,0.267392,0.354433
13.272,0.380571,0.223727,0.190555,0.211912,0.178517,0.263354,0.222769,0.270266,0.368172
13.772,0.387006,0.221287,0.18428,0.214336,0.166909,0.258286,0.237174,0.271403,0.388645
14.272,0.393339,0.218364,0.182221,0.216019,0.160402,0.252149,0.246142,0.270453,0.406151
14.772,0.393781,0.214014,0.18227,0.216655,0.157948,0.243731,0.248224,0.266716,0.420609
15.272,0.384998,0.206194,0.181458,0.213293,0.15983,0.230671,0.241281,0.259475,0.423832
15.772,0.334179,0.18428,0.174982,0.192096,0.164309,0.198596,0.2072,0.244684,0.387387
