Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-19.028,0.298567,0.16154,0.174906,0.175254,0.187313,0.173609,0.206242,0.294451,0.158171,0.159616,0.187087,0.209562,0.235488,0.397461,0.154703
-18.528,0.30136,0.170248,0.178285,0.17929,0.188614,0.180289,0.211848,0.309745,0.170335,0.164791,0.193743,0.217371,0.249441,0.404045,0.160056
-18.028,0.307362,0.181193,0.182794,0.185976,0.192564,0.187764,0.219005,0.325703,0.18387,0.169874,0.200272,0.224227,0.268004,0.4106,0.167003
-17.528,0.313846,0.190548,0.188503,0.193383,0.198859,0.195356,0.22755,0.340004,0.197414,0.174297,0.207768,0.230819,0.286704,0.418265,0.175174
-17.028,0.314021,0.19488,0.191404,0.197067,0.201256,0.200749,0.230053,0.345934,0.205014,0.174441,0.211136,0.231207,0.297172,0.422259,0.18182
-16.528,0.28504,0.179061,0.17205,0.178658,0.187162,0.194617,0.208408,0.321919,0.188981,0.154993,0.200006,0.209352,0.270564,0.40752,0.183507
-16.028,0.244328,0.148691,0.138686,0.144048,0.158197,0.177097,0.170906,0.272272,0.155521,0.126488,0.174266,0.175456,0.217169,0.37204,0.172476
-15.528,0.222308,0.129036,0.1189,0.122576,0.137776,0.165518,0.14675,0.237269,0.13294,0.112485,0.155393,0.155395,0.180632,0.342449,0.160272
-15.028,0.213999,0.120667,0.111475,0.114223,0.127395,0.160024,0.135099,0.218604,0.122192,0.110277,0.146103,0.146947,0.161662,0.322113,0.152944
-14.528,0.213076,0.120474,0.1122,0.113526,0.123216,0.157463,0.129701,0.21016,0.119029,0.11482,0.143271,0.145407,0.15523,0.308112,0.150917
-14.028,0.218731,0.126383,0.117882,0.118845,0.12363,0.157121,0.129083,0.211177,0.121051,0.122736,0.145104,0.149129,0.158898,0.302273,0.154544
-13.528,0.233855,0.136793,0.126416,0.129401,0.128994,0.159214,0.13294,0.222024,0.127138,0.131904,0.15015,0.157298,0.171886,0.307768,0.163905
-13.028,0.25916,0.150083,0.136182,0.144264,0.139887,0.164918,0.140775,0.241972,0.136447,0.141513,0.157078,0.16923,0.192784,0.324605,0.178101
-12.528,0.291762,0.164673,0.146997,0.163029,0.155926,0.175454,0.151751,0.268425,0.148937,0.153032,0.1659,0.183508,0.218795,0.351989,0.196284
-12.028,0.328307,0.180717,0.16117,0.184891,0.176385,0.191481,0.165013,0.297397,0.165909,0.169011,0.178199,0.197976,0.247484,0.389097,0.21842
-11.528,0.366528,0.198965,0.180925,0.209975,0.200344,0.212895,0.180244,0.327472,0.189502,0.19087,0.194983,0.21236,0.278612,0.436559,0.245563
-11.028,0.40603,0.219173,0.205898,0.237325,0.226486,0.237829,0.197022,0.358275,0.221056,0.218082,0.215092,0.226281,0.311381,0.493219,0.277394
-10.528,0.447663,0.240834,0.233946,0.265017,0.253538,0.26274,0.214417,0.38993,0.260385,0.248507,0.23564,0.238896,0.34427,0.554024,0.311491
-10.028,0.490057,0.263011,0.261999,0.291837,0.279778,0.28305,0.230779,0.421911,0.303737,0.278626,0.25318,0.249003,0.374991,0.609503,0.344392
-9.52798,0.530958,0.284844,0.287983,0.317934,0.303698,0.296258,0.245382,0.452654,0.344259,0.305996,0.266786,0.255482,0.401571,0.651917,0.373694
-9.02798,0.568354,0.305764,0.311485,0.344127,0.324536,0.303854,0.258787,0.480149,0.376313,0.330313,0.278469,0.25978,0.423787,0.679281,0.399157
-8.52798,0.598342,0.32391,0.330877,0.367944,0.340297,0.308714,0.271497,0.5003,0.395208,0.350663,0.290228,0.264645,0.439978,0.69229,0.418746
-8.02798,0.618969,0.338348,0.344984,0.385905,0.349847,0.313941,0.28418,0.511885,0.401191,0.36691,0.304021,0.27327,0.449638,0.69808,0.43065
-7.52798,0.629957,0.349506,0.353298,0.395329,0.352484,0.320152,0.29647,0.517289,0.39919,0.378117,0.320197,0.286125,0.452595,0.703263,0.43441
-7.02798,0.635208,0.358473,0.357315,0.397921,0.349534,0.326215,0.307258,0.523811,0.397238,0.383989,0.338549,0.300936,0.451099,0.711118,0.433403
-6.52798,0.637858,0.366376,0.361526,0.398412,0.344476,0.330981,0.31528,0.538605,0.399504,0.388064,0.359538,0.315495,0.451109,0.718978,0.433342
-6.02798,0.637381,0.374883,0.369573,0.40082,0.341939,0.335113,0.320785,0.56107,0.402931,0.394967,0.384126,0.329973,0.456709,0.721806,0.437992
-5.52798,0.639359,0.386241,0.382341,0.407425,0.349111,0.341721,0.327591,0.587895,0.406742,0.406341,0.412339,0.348,0.470313,0.722359,0.451558
-5.02798,0.651341,0.403068,0.402238,0.419506,0.371635,0.355259,0.34203,0.617852,0.414478,0.42247,0.443569,0.372849,0.497043,0.733299,0.478333
-4.52798,0.675872,0.425679,0.434496,0.440103,0.410137,0.378544,0.368968,0.650387,0.43388,0.443281,0.47687,0.404324,0.539676,0.763534,0.519333
