Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-12.7645,0.746839,0.616523,0.628994,0.590199,0.442772,0.411133,0.517963,0.613066,0.28828,0.529408,0.30943,0.480256,0.617591,0.819124,0.597222
-12.2645,0.887381,0.736366,0.841439,0.746078,0.542322,0.493157,0.669958,0.747119,0.326083,0.71188,0.351543,0.58174,0.801219,0.916726,0.799065
-11.7645,1.01234,0.861594,1.03329,0.870058,0.635733,0.575443,0.806592,0.886404,0.367324,0.865408,0.397605,0.704371,0.956169,1.01126,0.975825
-11.2645,1.06931,0.925157,1.1125,0.886299,0.677253,0.619057,0.866858,0.987629,0.400514,0.913561,0.430206,0.780516,1.00794,1.07068,1.04026
-10.7645,1.02435,0.880396,1.02829,0.808012,0.650008,0.607462,0.832039,0.98074,0.415932,0.821634,0.439966,0.771012,0.928178,1.05299,0.96438
-10.2645,0.923832,0.77164,0.874747,0.689052,0.588067,0.562175,0.746289,0.880298,0.415802,0.683772,0.434067,0.696532,0.796111,0.977845,0.815454
-9.76446,0.800628,0.630882,0.704514,0.570108,0.520195,0.502979,0.64481,0.731828,0.403687,0.545528,0.419316,0.593116,0.656852,0.847451,0.660257
-9.26446,0.680281,0.497891,0.555761,0.473382,0.463551,0.445112,0.550003,0.57489,0.382412,0.438912,0.40156,0.497401,0.540371,0.696338,0.532189
-8.76446,0.588484,0.400942,0.447469,0.407536,0.425143,0.399625,0.477285,0.463634,0.361276,0.372041,0.386548,0.427603,0.461487,0.57887,0.444272
-8.26446,0.528118,0.33983,0.376568,0.364785,0.398901,0.367744,0.426521,0.405104,0.347469,0.331293,0.374073,0.380053,0.413525,0.509075,0.388763
-7.76446,0.50001,0.310352,0.343369,0.340723,0.383585,0.353428,0.395592,0.390704,0.346308,0.311969,0.366143,0.353023,0.392757,0.48351,0.361568
-7.26446,0.504346,0.307066,0.344049,0.331898,0.378033,0.356623,0.381329,0.413062,0.35566,0.313706,0.36607,0.34338,0.397677,0.490692,0.361254
-6.76446,0.531897,0.321934,0.365692,0.333827,0.378584,0.369955,0.379173,0.455041,0.365826,0.33398,0.37381,0.345211,0.42209,0.517724,0.382107
-6.26446,0.563024,0.342024,0.389758,0.340644,0.380166,0.383176,0.382317,0.492416,0.369139,0.361286,0.383715,0.350082,0.449845,0.546286,0.407471
-5.76446,0.574494,0.352571,0.398796,0.344817,0.377324,0.387409,0.381808,0.506428,0.364216,0.379103,0.386943,0.348285,0.461185,0.558993,0.419658
-5.26446,0.554962,0.344828,0.38641,0.339755,0.366719,0.380307,0.37022,0.493416,0.352806,0.377602,0.377491,0.334873,0.449961,0.551662,0.409105
-4.76446,0.511062,0.321166,0.357448,0.323117,0.346775,0.365192,0.345359,0.465588,0.334085,0.35718,0.353967,0.310718,0.425423,0.533507,0.379185
-4.26446,0.462932,0.29111,0.323583,0.300822,0.320226,0.346582,0.312877,0.437494,0.306587,0.328742,0.322238,0.283139,0.403686,0.515675,0.347108
-3.76446,0.428553,0.264665,0.292911,0.281019,0.291638,0.324791,0.281586,0.413456,0.273352,0.302351,0.290973,0.261166,0.38923,0.498681,0.323066
-3.26446,0.411276,0.245222,0.268786,0.268104,0.265527,0.30012,0.258857,0.393333,0.242468,0.281193,0.266718,0.247637,0.372685,0.475238,0.30775
-2.76446,0.403251,0.230766,0.254249,0.261344,0.245691,0.276944,0.247786,0.378115,0.223272,0.265854,0.252601,0.240302,0.347417,0.442432,0.296653
-2.26446,0.393608,0.219632,0.249894,0.254674,0.234235,0.260202,0.245002,0.366306,0.217043,0.256192,0.246021,0.234721,0.315922,0.415219,0.287026
-1.76446,0.378849,0.210503,0.252086,0.243918,0.231292,0.24987,0.244406,0.356695,0.216798,0.250784,0.241763,0.227579,0.286202,0.408508,0.279215
-1.26446,0.360278,0.204054,0.2525,0.229941,0.232815,0.240221,0.239491,0.348768,0.213536,0.24602,0.23573,0.217261,0.263925,0.41639,0.273202
-0.764459,0.342732,0.200362,0.246923,0.216947,0.233946,0.228192,0.230688,0.343684,0.204229,0.238818,0.228096,0.205592,0.247874,0.422327,0.267566
-0.264459,0.329268,0.198284,0.23535,0.207532,0.231004,0.216696,0.21927,0.341037,0.190262,0.226985,0.219499,0.191128,0.233495,0.405376,0.258049
0.235541,0.325765,0.198602,0.226834,0.20703,0.225348,0.214068,0.211494,0.344037,0.182413,0.217074,0.215464,0.178686,0.224419,0.372811,0.248724
0.735541,0.338929,0.202155,0.228474,0.218029,0.224402,0.220809,0.213282,0.354511,0.188777,0.216102,0.221832,0.175121,0.227099,0.356701,0.249432
1.23554,0.366229,0.210521,0.239036,0.240398,0.234065,0.231276,0.22348,0.369834,0.205308,0.224057,0.238382,0.185217,0.244309,0.370881,0.264861
1.73554,0.399298,0.225069,0.253366,0.271464,0.25355,0.240417,0.23983,0.389179,0.225099,0.234965,0.260395,0.209691,0.27247,0.404229,0.291351
2.23554,0.426174,0.241725,0.262992,0.295545,0.275593,0.244911,0.25526,0.402984,0.238574,0.241202,0.27679,0.233732,0.298006,0.437631,0.317373
2.73554,0.441236,0.254763,0.263048,0.300273,0.290826,0.243054,0.262946,0.403551,0.241286,0.241043,0.279147,0.243496,0.307095,0.453774,0.332317
3.23554,0.450589,0.261743,0.257558,0.28885,0.29655,0.236898,0.264063,0.394362,0.237399,0.239806,0.270536,0.237292,0.29982,0.458464,0.338092
3.73554,0.456836,0.264688,0.256538,0.274513,0.296951,0.233234,0.26528,0.386979,0.234051,0.245559,0.261459,0.222975,0.285728,0.468489,0.344122
4.23554,0.457869,0.267481,0.266918,0.269097,0.297927,0.235643,0.270476,0.390292,0.235666,0.260801,0.256197,0.215885,0.275813,0.489605,0.357669
4.73554,0.448883,0.270483,0.286568,0.271827,0.300816,0.2424,0.277444,0.403576,0.240236,0.282344,0.255127,0.21766,0.275406,0.517012,0.377304
5.23554,0.427416,0.270279,0.305968,0.272021,0.300188,0.246124,0.278934,0.417287,0.242406,0.303806,0.253763,0.219159,0.279751,0.536755,0.391088
5.73554,0.401655,0.263858,0.314497,0.264137,0.290925,0.241512,0.270216,0.419199,0.23764,0.318081,0.249065,0.215221,0.282577,0.536474,0.389591
6.23554,0.380216,0.251379,0.308699,0.250146,0.271484,0.231344,0.253739,0.403627,0.224603,0.323015,0.241874,0.204472,0.278299,0.516113,0.374217
6.73554,0.368281,0.235031,0.290753,0.234017,0.244601,0.221585,0.234705,0.372239,0.205156,0.317963,0.231082,0.188865,0.2642,0.487923,0.353715
7.23554,0.364886,0.217484,0.264325,0.218976,0.216683,0.214576,0.216542,0.331126,0.182939,0.30257,0.215915,0.171077,0.242442,0.466909,0.335881
7.73554,0.36329,0.20016,0.232739,0.206376,0.193097,0.205867,0.199874,0.289117,0.161878,0.278424,0.195908,0.15213,0.216876,0.46048,0.318974
8.23554,0.35332,0.183343,0.199056,0.194421,0.174319,0.190651,0.183294,0.253501,0.145267,0.248707,0.173463,0.133976,0.191659,0.459397,0.295401
