Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-8.56728,0.636502,0.361525,0.307871,0.263408,0.324812,0.371106,0.464559,0.268166,0.336067,0.340326,0.404714,0.75902,0.390404
-8.06728,0.672749,0.372309,0.320049,0.285335,0.343903,0.392635,0.476376,0.293982,0.361758,0.365615,0.432689,0.785516,0.398549
-7.56728,0.693757,0.375593,0.328924,0.297682,0.361736,0.406839,0.484987,0.31322,0.386397,0.380553,0.453553,0.798513,0.407144
-7.06728,0.703285,0.374743,0.335717,0.300833,0.374906,0.411749,0.492449,0.322352,0.408203,0.385781,0.462304,0.79269,0.415759
-6.56728,0.706803,0.373518,0.342915,0.297803,0.381091,0.407687,0.498127,0.325046,0.424355,0.38367,0.457741,0.773526,0.420515
-6.06728,0.704103,0.373701,0.35292,0.291791,0.379646,0.396974,0.496342,0.326366,0.433109,0.376472,0.442926,0.753006,0.419752
-5.56728,0.696738,0.374725,0.365531,0.286247,0.371142,0.38302,0.483997,0.328955,0.432879,0.366171,0.424773,0.739141,0.415834
-5.06728,0.688291,0.373963,0.378372,0.283404,0.357361,0.368647,0.462513,0.333945,0.422716,0.354185,0.408333,0.733933,0.413627
-4.56728,0.682344,0.366069,0.386905,0.284066,0.344752,0.355439,0.43865,0.339195,0.404602,0.342566,0.396706,0.728526,0.416288
-4.06728,0.681533,0.354414,0.388694,0.286585,0.3422,0.343594,0.419449,0.342225,0.383183,0.332754,0.391495,0.711344,0.422229
-3.56728,0.682138,0.34757,0.385114,0.288449,0.356473,0.332999,0.40621,0.342929,0.365388,0.325118,0.39165,0.673895,0.427932
-3.06728,0.676232,0.339522,0.377896,0.286783,0.36814,0.321727,0.397523,0.338705,0.35584,0.317672,0.387342,0.617924,0.430324
-2.56728,0.649981,0.325153,0.362686,0.279442,0.358911,0.306895,0.387257,0.319965,0.343048,0.308508,0.368404,0.557363,0.417932
-2.06728,0.593333,0.298335,0.332145,0.262628,0.32019,0.284971,0.363721,0.285864,0.313867,0.291905,0.331227,0.500258,0.376967
-1.56728,0.512055,0.257894,0.28686,0.235989,0.261429,0.257485,0.321452,0.240464,0.268818,0.26081,0.282337,0.441256,0.315407
-1.06728,0.427528,0.22052,0.238661,0.205764,0.210723,0.231225,0.270641,0.195156,0.219966,0.221649,0.237797,0.382486,0.253808
-0.567279,0.355884,0.191045,0.199832,0.175611,0.173669,0.211767,0.221363,0.160152,0.182755,0.182188,0.203115,0.323128,0.210174
-0.0672789,0.300678,0.167198,0.175642,0.148622,0.147541,0.19947,0.183349,0.134656,0.160423,0.151162,0.17714,0.269583,0.192691
0.432721,0.269639,0.154244,0.168018,0.130677,0.133257,0.191415,0.163631,0.120845,0.151024,0.139361,0.162008,0.243831,0.192103
0.932721,0.260835,0.151578,0.171623,0.122539,0.130601,0.184701,0.156986,0.117721,0.149622,0.141026,0.155872,0.24382,0.196769
1.43272,0.267922,0.155869,0.18156,0.122545,0.135307,0.17877,0.15615,0.121195,0.152968,0.146838,0.154259,0.257076,0.202596
1.93272,0.285193,0.165263,0.193663,0.128987,0.144275,0.175631,0.158572,0.129124,0.158926,0.152621,0.154818,0.274081,0.206023
2.43272,0.304829,0.175582,0.202577,0.139659,0.153705,0.176845,0.163362,0.139501,0.165054,0.154942,0.156587,0.286488,0.205824
2.93272,0.319212,0.181127,0.205148,0.150045,0.160969,0.180145,0.168694,0.148807,0.168911,0.153338,0.158713,0.289763,0.201724
3.43272,0.327218,0.179482,0.202049,0.156788,0.165527,0.182773,0.173903,0.154004,0.169986,0.150791,0.160535,0.284439,0.197236
3.93272,0.332901,0.173099,0.197175,0.159742,0.167849,0.184115,0.17907,0.154422,0.170172,0.152516,0.162202,0.277698,0.198155
4.43272,0.341608,0.168308,0.193528,0.16272,0.169079,0.185296,0.184377,0.152159,0.17168,0.161326,0.164552,0.276253,0.203781
4.93272,0.356776,0.171314,0.191313,0.169767,0.170883,0.187893,0.19088,0.150782,0.176157,0.174408,0.168578,0.284954,0.213499
5.43272,0.379401,0.181626,0.191229,0.180445,0.175157,0.192671,0.199955,0.152948,0.183289,0.187943,0.174333,0.30555,0.225565
5.93272,0.406248,0.19461,0.193821,0.191486,0.182969,0.198502,0.212178,0.159397,0.191397,0.198202,0.180134,0.332695,0.237586
6.43272,0.436628,0.204671,0.199476,0.199858,0.192983,0.203774,0.230049,0.169813,0.200335,0.204423,0.185081,0.361193,0.248781
6.93272,0.471502,0.209808,0.209829,0.206326,0.202355,0.208555,0.25365,0.182367,0.212319,0.208848,0.190098,0.387778,0.259329
7.43272,0.503591,0.213308,0.225919,0.213356,0.210476,0.213593,0.279919,0.194142,0.22907,0.21416,0.197744,0.411876,0.269307
7.93272,0.522919,0.219025,0.246565,0.222174,0.219119,0.219661,0.303714,0.202145,0.248988,0.221687,0.209807,0.435431,0.278967
8.43272,0.524506,0.227964,0.268811,0.231602,0.230282,0.227105,0.32175,0.205394,0.268259,0.230446,0.224734,0.457702,0.288266
8.93272,0.510508,0.237455,0.287486,0.238985,0.242007,0.233613,0.331095,0.205016,0.28226,0.238566,0.237234,0.473161,0.295134
9.43272,0.491136,0.244118,0.298403,0.242938,0.249428,0.237034,0.331481,0.203462,0.289594,0.245252,0.243069,0.475914,0.297904
9.93272,0.474807,0.246725,0.301404,0.243731,0.250545,0.237127,0.325824,0.204253,0.292177,0.25116,0.241285,0.46722,0.29668
10.4327,0.461319,0.245891,0.299757,0.244148,0.247872,0.236239,0.31962,0.210189,0.293627,0.257663,0.233923,0.454561,0.294455
10.9327,0.45122,0.243388,0.298041,0.246829,0.245908,0.237141,0.319949,0.220822,0.297357,0.265036,0.225474,0.447878,0.294858
11.4327,0.448008,0.241886,0.300301,0.253695,0.247545,0.241352,0.331241,0.234438,0.305537,0.274096,0.219959,0.453246,0.29919
11.9327,0.451448,0.241857,0.30652,0.262713,0.252518,0.247367,0.351412,0.246463,0.318419,0.283748,0.2195,0.467855,0.305321
12.4327,0.458827,0.243087,0.314884,0.271372,0.258886,0.252197,0.372151,0.254605,0.334571,0.292226,0.223304,0.485406,0.311802
12.9327,0.467593,0.245867,0.323686,0.276491,0.265329,0.255633,0.388482,0.259504,0.350596,0.298629,0.228419,0.498859,0.3197
13.4327,0.475995,0.250168,0.332311,0.275317,0.271254,0.25898,0.400588,0.262671,0.362881,0.302881,0.231599,0.506008,0.330149
13.9327,0.484882,0.25531,0.341521,0.26947,0.277237,0.263916,0.412508,0.266293,0.369154,0.307405,0.232848,0.509924,0.343762
14.4327,0.496912,0.260266,0.352287,0.263516,0.284759,0.270859,0.427595,0.271142,0.371292,0.315217,0.235176,0.51737,0.358364
14.9327,0.51369,0.265665,0.365455,0.262793,0.294935,0.278725,0.443986,0.27773,0.374128,0.325805,0.239868,0.531182,0.371067
15.4327,0.536395,0.27301,0.379577,0.2694,0.308457,0.287388,0.45896,0.285497,0.380689,0.336847,0.246763,0.54842,0.3813
15.9327,0.565775,0.283045,0.392558,0.281846,0.322603,0.296656,0.474071,0.294829,0.391788,0.347377,0.25567,0.565479,0.391947
16.4327,0.596421,0.294092,0.402035,0.295292,0.33378,0.305499,0.490618,0.303736,0.403749,0.358078,0.26466,0.580407,0.403103
16.9327,0.623246,0.303866,0.407363,0.306155,0.342052,0.314033,0.510451,0.310335,0.413017,0.370353,0.274173,0.593162,0.413334
17.4327,0.643736,0.314024,0.410126,0.312033,0.347921,0.323218,0.533659,0.314974,0.417484,0.382493,0.286583,0.603272,0.421677
17.9327,0.658535,0.32821,0.412647,0.313922,0.355838,0.336738,0.554243,0.320187,0.418348,0.391673,0.302298,0.611567,0.428284
18.4327,0.667204,0.344717,0.412853,0.31351,0.366921,0.356899,0.564874,0.324915,0.418058,0.396709,0.322035,0.618226,0.432089
18.9327,0.66827,0.358882,0.408781,0.311093,0.375756,0.379221,0.561679,0.325875,0.415437,0.398081,0.34694,0.621631,0.430171
19.4327,0.661176,0.365877,0.400915,0.307268,0.378442,0.394323,0.54746,0.320182,0.409184,0.395352,0.374211,0.617169,0.418206
19.9327,0.647266,0.363392,0.389534,0.302302,0.37236,0.395262,0.531277,0.307144,0.399124,0.386604,0.400486,0.601984,0.397865
20.4327,0.628902,0.354674,0.374417,0.296157,0.356581,0.380415,0.519963,0.289404,0.385009,0.370571,0.416074,0.58204,0.37582
20.9327,0.604207,0.343533,0.355574,0.289759,0.333161,0.354476,0.504482,0.269128,0.3669,0.34862,0.412483,0.565923,0.3563
21.4327,0.574762,0.330037,0.334534,0.28163,0.306206,0.324604,0.478469,0.248267,0.346037,0.323848,0.387894,0.55518,0.34118
21.9327,0.543986,0.31251,0.312811,0.26838,0.278981,0.293924,0.440433,0.227218,0.320839,0.297543,0.347084,0.541009,0.327383
22.4327,0.515609,0.290205,0.294348,0.251261,0.254619,0.264514,0.391645,0.20796,0.291855,0.27171,0.301722,0.516185,0.312611
22.9327,0.493018,0.266021,0.278531,0.233244,0.235238,0.238943,0.345376,0.192358,0.26295,0.249766,0.262336,0.483202,0.296669
23.4327,0.477805,0.245935,0.266546,0.21834,0.222521,0.221573,0.31144,0.180875,0.239966,0.2348,0.236386,0.453067,0.283344
23.9327,0.462777,0.229676,0.25526,0.207135,0.210286,0.207419,0.281409,0.171113,0.216945,0.224737,0.21934,0.427022,0.268694
