Arc_length vs Data,RAh13_18months_up_DTI_manualBM_centered,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RNn13_18months_up_DTI_manualBM_centered,RSb14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RUf14_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
-14.4637,0.415831,0.145739,0.132803,0.133097,0.11099,0.145215,0.192902,0.264351,0.099639,0.157244,0.119618,0.148397,0.147533,0.235222,0.234534
-13.9637,0.407818,0.146906,0.139732,0.13235,0.112805,0.14971,0.188876,0.250406,0.0984209,0.155217,0.121272,0.144815,0.149147,0.246718,0.217568
-13.4637,0.39968,0.14986,0.148788,0.133429,0.119432,0.159736,0.191086,0.24417,0.106032,0.156265,0.130701,0.14437,0.152766,0.268424,0.207124
-12.9637,0.39796,0.15734,0.161071,0.142292,0.136178,0.175808,0.201413,0.24606,0.122629,0.165409,0.150595,0.154874,0.162982,0.310497,0.202915
-12.4637,0.398751,0.173494,0.181328,0.162219,0.167015,0.199363,0.223354,0.256875,0.150124,0.187366,0.185426,0.183338,0.186659,0.390454,0.207224
-11.9637,0.406595,0.19671,0.204495,0.187611,0.206746,0.223997,0.254758,0.285981,0.182995,0.221146,0.224643,0.227449,0.219486,0.484638,0.227189
-11.4637,0.419227,0.221037,0.228138,0.212767,0.242037,0.242906,0.282806,0.324514,0.210426,0.257758,0.25409,0.272663,0.25081,0.554052,0.251475
-10.9637,0.427398,0.24165,0.248905,0.229797,0.261059,0.256856,0.301083,0.363938,0.227939,0.285247,0.269353,0.303798,0.271752,0.579868,0.270848
-10.4637,0.432454,0.25688,0.265079,0.24046,0.266552,0.269633,0.311805,0.397882,0.238238,0.299995,0.275839,0.318149,0.280871,0.570541,0.282808
-9.96372,0.435374,0.269022,0.277787,0.24969,0.267009,0.281277,0.322103,0.4221,0.244836,0.306855,0.28355,0.32439,0.286187,0.556206,0.290485
-9.46372,0.440292,0.278875,0.288584,0.255303,0.272137,0.291917,0.336598,0.436927,0.249994,0.312895,0.296117,0.329051,0.295449,0.559396,0.29831
-8.96372,0.451929,0.286941,0.299639,0.256937,0.284424,0.302636,0.351829,0.446762,0.254415,0.322573,0.311084,0.333453,0.309089,0.575355,0.306624
-8.46372,0.466797,0.295278,0.311031,0.254855,0.298562,0.315308,0.363674,0.454755,0.257216,0.334579,0.325738,0.338671,0.322938,0.593396,0.315587
-7.96372,0.479598,0.304302,0.322195,0.251663,0.310233,0.330782,0.372199,0.462522,0.257758,0.346862,0.339895,0.348543,0.333419,0.6088,0.325069
-7.46372,0.490055,0.313933,0.331411,0.249501,0.317775,0.346063,0.381389,0.473508,0.256327,0.357457,0.351971,0.363552,0.338516,0.621795,0.332721
-6.96372,0.502031,0.322246,0.339852,0.249262,0.323264,0.360197,0.392271,0.486748,0.256697,0.366798,0.363344,0.379905,0.34123,0.637692,0.33634
-6.46372,0.518697,0.325814,0.347143,0.251178,0.326523,0.372007,0.401955,0.499865,0.260746,0.374543,0.37406,0.391355,0.342796,0.661799,0.334077
-5.96372,0.53473,0.326505,0.350976,0.257386,0.324713,0.380613,0.407512,0.506549,0.266228,0.377868,0.383289,0.393448,0.344188,0.688073,0.326132
-5.46372,0.545235,0.323183,0.347563,0.267223,0.31579,0.382742,0.408663,0.503097,0.268277,0.373573,0.387626,0.389057,0.345386,0.70415,0.315735
-4.96372,0.544608,0.314601,0.335831,0.276494,0.297317,0.375333,0.405483,0.490174,0.263661,0.358474,0.380981,0.37911,0.345694,0.700414,0.308207
-4.46372,0.53105,0.299772,0.318789,0.277098,0.272542,0.359583,0.393988,0.471029,0.253737,0.333446,0.359471,0.365283,0.344778,0.676608,0.304322
-3.96372,0.507957,0.279084,0.298759,0.266536,0.244702,0.339035,0.371063,0.449908,0.243418,0.304243,0.325987,0.350246,0.340718,0.647039,0.30201
-3.46372,0.479663,0.257157,0.279115,0.248879,0.215557,0.317209,0.337656,0.428642,0.237873,0.279269,0.289889,0.337636,0.331639,0.622472,0.299797
-2.96372,0.455154,0.237678,0.261271,0.229636,0.188392,0.295187,0.299391,0.410763,0.239558,0.262169,0.258781,0.330343,0.317594,0.601891,0.296868
-2.46372,0.440127,0.223865,0.249059,0.211945,0.166952,0.274518,0.263449,0.396369,0.24765,0.250596,0.237003,0.324754,0.301654,0.577439,0.294521
-1.96372,0.436229,0.218016,0.249075,0.198108,0.158915,0.25958,0.239017,0.385668,0.257796,0.242747,0.227122,0.318465,0.288572,0.552746,0.293317
-1.46372,0.444782,0.221005,0.260079,0.193494,0.168552,0.251259,0.230282,0.379917,0.263406,0.241434,0.230515,0.313044,0.28463,0.540014,0.292289
-0.963721,0.460598,0.229808,0.274526,0.198731,0.187291,0.24799,0.235046,0.378416,0.26328,0.248009,0.241988,0.31083,0.289424,0.543642,0.292051
-0.463721,0.49067,0.245542,0.29421,0.217263,0.213117,0.248853,0.252208,0.3853,0.260395,0.268189,0.265648,0.31761,0.306671,0.571244,0.29696
0.0362786,0.547985,0.273162,0.32247,0.249102,0.243586,0.256682,0.280462,0.409674,0.267644,0.300342,0.301817,0.339508,0.342371,0.626413,0.318801
0.536279,0.615516,0.306259,0.34596,0.276117,0.267484,0.274402,0.305809,0.4367,0.293396,0.319058,0.324647,0.362271,0.375847,0.671786,0.353351
1.03628,0.670188,0.332786,0.356143,0.292948,0.285411,0.292904,0.321132,0.458697,0.323187,0.331611,0.329648,0.370944,0.39527,0.690792,0.385799
1.53628,0.717888,0.355866,0.364114,0.312432,0.303612,0.310533,0.332757,0.489025,0.351003,0.347959,0.328649,0.37241,0.411233,0.700337,0.416832
2.03628,0.74981,0.371141,0.37326,0.336495,0.32124,0.325078,0.340034,0.523336,0.37125,0.363755,0.327618,0.367821,0.426985,0.705049,0.442034
2.53628,0.744353,0.370435,0.380632,0.354286,0.331487,0.330392,0.337596,0.541148,0.373707,0.369195,0.330268,0.357705,0.443251,0.705444,0.450748
3.03628,0.699715,0.356774,0.375972,0.35055,0.326751,0.326825,0.323531,0.523318,0.358534,0.351634,0.329433,0.342759,0.452996,0.697762,0.442823
3.53628,0.635321,0.335164,0.350895,0.324181,0.307053,0.313578,0.300855,0.466137,0.32848,0.320231,0.317063,0.323173,0.445625,0.681471,0.42227
4.03628,0.574528,0.309285,0.310103,0.285273,0.276599,0.290805,0.275219,0.396023,0.28708,0.289114,0.291058,0.300393,0.41399,0.657778,0.390518
4.53628,0.533027,0.282639,0.26793,0.247391,0.243061,0.262568,0.254017,0.343396,0.24312,0.265594,0.259135,0.277273,0.364542,0.629299,0.350882
5.03628,0.510624,0.258078,0.237841,0.2183,0.215054,0.235842,0.241619,0.322386,0.206694,0.250212,0.23347,0.2562,0.316243,0.596686,0.309683
5.53628,0.49332,0.238732,0.222567,0.197108,0.195733,0.217253,0.237851,0.331514,0.184683,0.241692,0.221103,0.238754,0.284061,0.558181,0.276173
6.03628,0.471242,0.225361,0.215178,0.182165,0.183565,0.207303,0.238413,0.354126,0.176188,0.236783,0.219495,0.227489,0.269344,0.518591,0.256306
6.53628,0.445868,0.216506,0.208689,0.175043,0.176784,0.202351,0.23911,0.37607,0.174986,0.23035,0.222093,0.223508,0.262716,0.48489,0.249189
7.03628,0.428277,0.211334,0.200217,0.176439,0.174441,0.198078,0.23709,0.390008,0.175104,0.219696,0.223193,0.223114,0.256565,0.46198,0.248857
7.53628,0.420468,0.208633,0.191412,0.179444,0.175024,0.192273,0.2308,0.394634,0.172003,0.205709,0.220138,0.220815,0.249429,0.450586,0.248879
8.03628,0.41335,0.206792,0.185065,0.179612,0.176146,0.184709,0.220747,0.392737,0.164901,0.191865,0.213163,0.213153,0.241937,0.444407,0.24595
8.53628,0.397917,0.203856,0.180448,0.177835,0.174009,0.174331,0.207628,0.384869,0.154206,0.182014,0.204275,0.201321,0.23384,0.436424,0.239852
9.03628,0.371471,0.198577,0.175374,0.175848,0.166333,0.160737,0.193924,0.37242,0.142561,0.175785,0.196843,0.18903,0.225086,0.421612,0.231373
9.53628,0.340386,0.192746,0.169356,0.174084,0.156037,0.146046,0.181357,0.357882,0.134011,0.171014,0.192234,0.178325,0.215843,0.399493,0.220211
10.0363,0.310761,0.188849,0.163087,0.171034,0.148221,0.134237,0.171028,0.340715,0.130311,0.16637,0.189076,0.169836,0.205121,0.374087,0.204859
10.5363,0.284444,0.188243,0.15861,0.165427,0.145129,0.126845,0.165308,0.322444,0.130927,0.16168,0.185737,0.161965,0.193842,0.352674,0.185644
11.0363,0.260804,0.188231,0.157188,0.158313,0.144903,0.122377,0.164485,0.304064,0.133511,0.157767,0.180843,0.153939,0.183667,0.338766,0.165564
11.5363,0.24105,0.184831,0.158664,0.151083,0.143549,0.117224,0.166873,0.286845,0.134606,0.154178,0.17357,0.145786,0.175983,0.33211,0.148042
12.0363,0.229226,0.176639,0.161892,0.142978,0.13874,0.10867,0.167427,0.271338,0.130998,0.15016,0.162447,0.137538,0.170653,0.329712,0.137091
12.5363,0.228309,0.164382,0.164164,0.133456,0.131504,0.0989645,0.16128,0.253119,0.122729,0.147101,0.147824,0.131052,0.165676,0.327277,0.133774
13.0363,0.23307,0.150132,0.163528,0.122819,0.121725,0.0902308,0.148069,0.228949,0.111453,0.144752,0.13124,0.12636,0.158071,0.319565,0.13395
13.5363,0.235735,0.134335,0.159918,0.113221,0.110055,0.0831772,0.132354,0.203297,0.0991421,0.141438,0.115644,0.122514,0.14782,0.304407,0.133811
14.0363,0.233652,0.118555,0.155028,0.106998,0.0988312,0.0785779,0.118549,0.183079,0.0895521,0.137444,0.103994,0.119179,0.139282,0.286823,0.132584
14.5363,0.226695,0.105206,0.150552,0.103466,0.0897018,0.0758267,0.108273,0.170101,0.0836017,0.132257,0.0963391,0.115949,0.133039,0.270299,0.130952
15.0363,0.216864,0.0939126,0.144531,0.102201,0.0831961,0.0738665,0.0993851,0.162674,0.0808034,0.12542,0.0920869,0.112866,0.128057,0.254808,0.13027
15.5363,0.208752,0.0849304,0.135883,0.104329,0.0795527,0.0735832,0.0884783,0.158731,0.0812604,0.120819,0.0905037,0.110309,0.127574,0.244723,0.132072
