Arc_length vs Data,RBf13_18months_up_DTI_manualBM_centered,RHm13_18months_up_DTI_manualBM_centered,RJe13_18months_up_DTI_manualBM_centered,RMe14_18months_up_DTI_manualBM_centered,RNc14_18months_up_DTI_manualBM_centered,RNe14_18months_up_DTI_manualBM_centered,RTm13_18months_up_DTI_manualBM_centered,RVm14_18months_up_DTI_manualBM_centered,RYh13_18months_up_DTI_manualBM_centered,RZh13_18months_up_DTI_manualBM_centered,RZk13_18months_up_DTI_manualBM_centered
13.3407,0.282769,0.251265,0.290346,0.28946,0.288428,0.292256,0.217275,0.302731,0.364387,0.590462,0.365989
13.8407,0.283464,0.259431,0.288459,0.288458,0.291138,0.288216,0.228222,0.297583,0.36494,0.577344,0.367732
14.3407,0.284702,0.271733,0.288144,0.284374,0.289643,0.288045,0.242328,0.288729,0.354699,0.575369,0.360187
14.8407,0.290635,0.282586,0.299173,0.283003,0.284931,0.28975,0.252845,0.286121,0.343574,0.584843,0.350792
15.3407,0.297556,0.285421,0.317415,0.283978,0.285596,0.295172,0.260231,0.290897,0.333524,0.604756,0.343175
15.8407,0.29984,0.275452,0.329288,0.28415,0.296451,0.30778,0.271541,0.299669,0.329599,0.637946,0.339579
16.3407,0.293185,0.254457,0.327618,0.278354,0.313678,0.32283,0.283359,0.306061,0.333544,0.677329,0.337577
16.8407,0.279297,0.232822,0.3127,0.263827,0.328337,0.329724,0.287648,0.305343,0.337334,0.706085,0.329983
17.3407,0.265024,0.218255,0.292902,0.244721,0.332844,0.321963,0.280041,0.2994,0.327924,0.706087,0.316582
17.8407,0.252561,0.214198,0.27584,0.218912,0.325432,0.301282,0.265275,0.290721,0.301017,0.677536,0.299682
18.3407,0.242412,0.21747,0.26197,0.189741,0.311752,0.2797,0.253248,0.279994,0.266668,0.633724,0.28702
18.8407,0.237023,0.222748,0.25289,0.172124,0.299824,0.274329,0.245057,0.269404,0.243276,0.602002,0.287218
19.3407,0.238856,0.229389,0.250211,0.173367,0.293315,0.286282,0.240683,0.265583,0.236345,0.593909,0.294774
19.8407,0.249613,0.238791,0.253619,0.191066,0.293891,0.309725,0.24294,0.270939,0.240633,0.600423,0.304124
20.3407,0.268016,0.253018,0.263396,0.21862,0.302972,0.337634,0.255938,0.2869,0.250232,0.616519,0.313009
20.8407,0.288864,0.271202,0.275314,0.246531,0.320007,0.361237,0.28016,0.310434,0.262499,0.637418,0.322433
21.3407,0.304132,0.286318,0.282429,0.266762,0.339064,0.37637,0.306885,0.32975,0.2767,0.658023,0.336444
21.8407,0.313044,0.296961,0.283731,0.282513,0.353833,0.386182,0.326115,0.340517,0.289927,0.672276,0.350602
22.3407,0.317533,0.30366,0.282012,0.292344,0.362263,0.391932,0.336106,0.345249,0.299111,0.680719,0.360978
22.8407,0.319625,0.307611,0.27945,0.298564,0.365978,0.395056,0.340046,0.346313,0.304532,0.682101,0.366554
